title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Chuanwei Group 24 MW Waste Gas based Captive Power Plant,"Chuanwei Group 24 MW waste gas based captive power plant (hereafter referred to as the Project) is sited within Lianjie Town, Weiyuan County, Neijiang City of Sichuan Province, P.R.China. The project activity involves installation of two sets of 12 MW condensing turbine generators. The objective of the Project is to utilize the waste gas of Chuanwei Group which would be flared in the absence of the Project to generate electricity, displacing part of electricity supplied by fossil fuel-fired power plants of the Central China Grid.  The Project will not only supply carbon-free electricity by means of utilization of combustible waste gas, but also contribute to sustainable development of the local community, host country and the world by means of reducing greenhouse gas emissions compared to a business-as-usual scenario; accelerating the development of energy-saving technologies, and creating local job opportunities.",Sichuan Province,"Neijiang Xingming Energy Co., Ltd.
Andhra Pradesh, India
4085172183
kgraham@apx.com",,Registered,183021,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 01/01/2021 - 31/12/2027",,,,,,12
Gansu Diebu Niaojiaga 12.9 MW Hydropower Station Project,"The project is a registered small (12,9 MW) run-of-river hydro project generating electricity otherwise generated by thermal powerplants connected to the Nothwest China Grid thus achieving GHG emission reductions.",Gansu Province,"Diebu Niaojiaga Hydropower Development Co, Ltd
China",,Registered,55789,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/08/2006 - 31/07/2016",,,,,,26
Yunnan Heier 25MW Hydro Power Project,"The project is a run of river project located on Heier River (branch of Nanpanjiang River), in Heier Village, Longqing Town, Shizong County, Qujing City, Yunan Province, P. R. China. The geographical coordinates of the station is 104‹01Œ15.9E, 24‹26Œ52.9N. It is a run-of-river project with total installed capacity 25MW (2*12.5MW). The purpose of the project activity is to deliver electricity to China southern Power Grid (CSPG), displacing electricity generated by thermal power plants in CSPG; thus GHG emission reduction is achieved. The estimated electricity delivered to CSPG is 124,075 MWh. The estimated annual GHG emission reduction is 96,046 tCO2e.",,"Origin Energy Electricity Limited
Hamilton, Bermuda",,Registered,96046,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,,,,,,,27
Hubei Hefeng Yanzi Town Baishun Village Taohuashan Hydropower Station,"The proposed project activity involves the construction and operation of a run-of-river diversion type hydropower station, the “Hubei Hefeng Yanzi Town Baishun Village Taohuashan Hydropower Station project”, hereafter referred to as “project” or “proposed project”. The proposed project is located in Baishun Village of Yanzi Town in Hefeng County of Enshi Tujia-Miao Autonomous Prefecture, Hubei Province, China. The dam is located on the Jiufengqiao River and the power plant is located on the side of Nandu River. The project will utilize a separate reservoir which was not created by the project itself. The project will be developed by Hefeng Taoyuan Hydropower Co., Ltd.",Hubei Province,"COzero
Haryana, India",,Registered,39915,,,Energy industries (renewable/non-renewable sources),,"ACM0002,AMS-I.D.",,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,,,,,,,28
Gansu Zhouqu Shimenping 15 MW Hydropower Station Project,"The Gansu Zhouqu Shimenping 15 MW Hydropower Station Project will involve the construction of a run-of-river hydropower station at the main stream of the Bailongjiang River in Zhouqu County, Gannan Tibetan Autonomous Prefecture, of Gansu Province. The proposed installed capacity is 15 MW, which consists of three 5 MW turbines. The installed capacity of 15 MW was designed to maximize the utilization of water flow at the project location.The nameplates of the turbines have been verified. Furthermore, the project has been approved by the local Development and Reform Commission. Expansion beyond the current capacity would not be possible without further government approval. Thus the maximum output capacity of the project activity conforms to the small scale threshold of 15 MW.",Gansu Province,"Gansu Diantou Darong Shimenping Power Generation
Neiva, Colombia",,Registered,66659,,,Energy industries (renewable/non-renewable sources),,"ACM0002,AMS-I.D.",,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 01/05/2020 - 30/04/2027",,,,,,29
Hunan Dongping 72MW Hydropower Project,"The project is a grid connected run-of-river hydropower project located on the  main stream of Zishui River in Anhua County, Yiyang City, Hunan province,  China.  It is a registered hydro power project with total installed capacity 72 MW. The purpose of the project activity is to deliver electricity to Central China Grid (CCG), displacing electricity generated by thermal power plants in CCG; thus GHG emission reduction is achieved.    The estimated electricity generated is 291.2 GWh annually within which 271.1  GWh will be delivered to CCG. The estimated annual GHG emission reduction  is 254,853 tCO2eq.  The real emission reductions during the monitored period  (2007-04-01 to 2008-02-11) are 54,914 tCO2eq.",Hunan Province,"Wuling Power Corporation Ltd
Gujarat, India",,Registered,253336,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"3rd, 01/04/2021 - 31/03/2028",,,,,,30
Luara Ceramic Fuel Switching Project,"Luara Ceramic is a small and prototypical red ceramic, located in the southeast of Brazil, which produces primarily blocks and other structural ceramic devices, for the market in Campo Grande of the Mato Grosso do Sul state. The industry possesses one Round kiln and one Paulista kiln to produce approximately 550,000 ceramic devices per month. In order to supply the heat necessary to cook its products, it maintains a temperature of 900ºC for 24 hours in both kilns. The fuel that was used was native wood extracted from the nearby Cerrado forest. The practice has led to the deforestation of this very crucial biome that is located in the southern region of Mato Grosso do Sul. This area is geographically limited to the southeast by São Paulo and the remaining Cerrado forest in the same region of the ceramic that is located in the surrounding area of Panorama.",São Paulo,"Luara Indústria e Comércio de Materiais Ltda
Sao Paulo, Brazil",,Registered,9450,,,Energy industries (renewable/non-renewable sources),,"AMS-I.C.,AMS-III.E.",,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",,,,,,32
Kitambar Switching Fuel Project,"The project is implemented at Kitambar Ceramic, which is a small and prototypical ceramic industry that produces structural ceramic devices like roof tiles for the regional market. This project consists of utilizing renewable biomasses to feed the kilns rather than using native wood from areas without sustainable forest management, which is a pioneering practice in the region. Once it does not originate from areas with reforestation activities, this type of wood is considered a non-renewable biomass. Kitambar Ceramic mainly uses wood from Algaroba and cashew tree residues as renewable biomasses. The coconut husk is also utilized. However, the technological difficulty of burning these materials limits their use.",Pernambuco,Multiple Proponents,,Verification approval requested,35588,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"2nd, 01/01/2017 - 31/12/2026",,,,,,33
Zhuhai Hengqin Island Wind Farm Project,"The proposed Zhuhai Hengqin Island Wind Farm Project is to generate renewable electricity using wind power resources and sell the generated output to the China Southern Power Grid on the basis of a Power Purchase Agreement (PPA). The proposed project activity will generate greenhouse gas (GHG) emission reductions by avoiding CO2 emissions from electricity generation of fossil fuel fired power that is supplied to the CSPG. The Zhuhai Hengqin Island Wind Farm is located in the Hengqin Island, Zhuhai City, Guangdong province. The proposed project is the only wind farm in the Hengqin Island and a decision has been made to install a total of 21 wind turbines, each of which has the capacity of 750kW to best suit the local conditions. The total power capacity, therefore, of the proposed project activity is 15.75MW. The expected net supplied power to the grid is 35,879 MWh per year. It is ex-ante estimated that the project will generate average annual emission reduction of about 33,217 tCO2e.",Guangdong Province,"Zhuhai Guohua Wonderful Wind Power Exploitation Co
Guatemala",,Registered,33217,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"3rd, 07/01/2022 - 06/01/2029",,,,,,35
China Xiaogushan Hydropower Project,Run-of-river hydro project located on the Heihe River with an installed capacity of 102MW; expected output of 394 gw/h.,Gansu Province,"Xiaogushan Hydropower Co., Ltd.
Gansu Province, China",,Registered,39947,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"CTI Certification Co., Ltd.",09/04/2009,"CREDITING PERIOD HAS EXPIRED, 12/05/2006 - 11/05/2016",,,,,,36
ISLWASTE HEAT RECOVERY PROJECT,"The purpose of the project activity is to generate electricity by utilisation of the waste heat emanating from the DRI plant. The project activity of ISL will also lead to sustainable economic growth, conservation of natural resources and reduction in Green House Gas (GHG) emission. 16 MW power generated from the captive power plant will cater the loads of DRI plant, captive power plant and other utilities. The project activity would replace the cheap coal based power and utilize the waste heat for power generation, which would otherwise vent in the atmosphere. Therefore project activity helps in reducing Greenhouse Gas (GHG) emission into the atmosphere.",Chhattisgarh,"Ind Synergy Ltd
New Delhi, India",,Late to verify,67185,,,Energy industries (renewable/non-renewable sources),,ACM0012,,,Tuev Sued Industrie Service GmbH (Tuev Sued),21/04/2009,"CREDITING PERIOD HAS EXPIRED, 01/05/2007 - 30/04/2017",,,,,,37
Energy Efficiency Project in the Ramla Cement Plant in Israel,"The objective of this energy efficiency project is the installation of a vertical mill for clinker  grinding and cement production in one of the Nesher Cement Enterprises Ltd’s cement plants.  The new facility is installed at the Ramla cement plant, located 1 km from the town of Ramla. Compared to the existing balls mills which are in use at all Nesher plants, the vertical roller mill has higher energy efficiency. The vertical roller mill is expected to reduce power consumption for cement grinding by around 10 kWh/ton of cement produced. The estimated amount of emissions reductions over a ten years crediting period is 81 650 tCO2e (8 165 tCO2e/year).",Central Region,"Nesher Cement Enterprises Ltd.
West Bengal, India
+919830999854
abhijit.banerjee@edclgroup.com
edclgroup.com",,Registered,8165,,,Energy industries (renewable/non-renewable sources),,"ACM0002,AMS-I.D.,AMS-II.D.",,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/06/2006 - 31/05/2016",,,,,,38
"Offis Textile Ltd. Fuel Switch, Israel","The project's purpose is to reduce the factory's greenhouse gas (GHG) emissions that result  from the combustion of fossil fuels for energy generation. A part of the textile manufacturing  process requires energy in the forms of steam and heat, which are provided by steam and  thermal oil boilers respectively.  There are two steam boilers (one main and one back-up) and  four oil (heat) boilers (two main and two back-up). Prior to the project activity, the textile  factory’s boilers operated solely on heavy fuel oil that is delivered to the factory in large  trucks. The factory has been operating since 1971 and since 1990 has used low-sulphur  heavy fuel oil (HFO)1 to fuel its steam and heat boilers. The project retrofits Offis' main  steam and heat boilers to operate on landfill gas by replacing the boilers' burners. The  landfill gas (LFG) will be delivered by a pipeline from the Hiriya Landfill, which is located  approximately 2 km away from the Offis plant.",Dan Region,"Offis Textile Ltd.
Uruguay, Uruguay
atorchelo@prosustentia.com",,Registered,9243,,,Energy industries (renewable/non-renewable sources),,"AMS-I.C.,AMS-III.B.",,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/06/2006 - 31/05/2016",,,,,,39
Yichun Erduoyan Wind Power Project 28.05MW,"The project is located in Langxiang Town, Yichun, Heilongjiang Province of China. The project is a wind power plant. The proposed installed capacity is 28.05 MW consisting of 33 0.85MW turbines. The details of the turbines with respect to their numbers, type and model of the machines have been verified /4/ to be as per details provided in the PDD. The electricity generated is supplied to CNPG (which is dominated by coal-fired power plants) under Power Purchase Agreements (PPAs)/5/. The project has accounted for emission reductions generated by the proposed project from 29 March 2007 to 17 May 2007. The projects emission reductions are determined by multiplying the net amount of electricity generated by the project by an estimated ex-ante fixed grid emission coefficient of 1.0985CO2e/MWh.",Heilongjiang Province,"Yichun Xinganling Wind Power Co., Ltd.
Heilongjiang, China",,Registered,61966,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),04/05/2009,"CREDITING PERIOD HAS EXPIRED, 29/03/2007 - 28/03/2017",,,,,,40
Ratchaburi Farms Biogas Project at Nong Bua Farm,"Nong Bua Farm Ratchaburi Biogas Project (“the project”) involves the capture of methane (CH4) rich biogas produced during the treatment of swine barn flushing wash-waters and its combustion power generation at Nong Bua Farm in the Ratchaburi Province of Thailand.  With the swine rearing capacity of 65,000 fattening swine, Nong Bua Farm has recently invested in a high-rate continuous flow closed anaerobic treatment reactors to treat 100% of all barn flushing effluents produced from their swine rearing operations.  Nong Bua Farm has constructed these facilities to replace low-rate open anaerobic lagoon barn flushing effluent treatment systems.",Ratchaburi Province,"Nong Bua Farm & Country Home Village Co., Ltd.
Turkey",,Registered,15958,,,Energy industries (renewable/non-renewable sources),,AMS-III.D.,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2007 - 31/12/2016",,,,,,42
Fuel Switch from fossil fuel to renewable biomass for thermal energy applications in Rajasthan,"Prior to the project activity (as is the industry practice) the said plant of GIL used fossil fuel to generate the heat required for its manufacturing process (the drying, hot press and the treater machines).  The plant requires thermal energy for thereof their hot presses and one treater machine. The installed (and operational) capacity of the project is 4.2 million Kcal/hr of thermal energy for the production process within the site. The rated energy output from the boiler is 4.876 MW. The project thus qualifies for the use of Small Scale CDM Modalities and Procedures.  The proposed project activity involved the generation of thermal energy by utilizing locally available biomass (eg. mustard-husk, coconut shells, rice husk etc.) to replace fossil fuel used in the boiler(s) at Greenply Industries Ltd. (GIL), District Alwar in the state of Rajasthan, India, one of India's leading manufacturers of laminates like sunmica, decorative veneers, plywood etc.",Rajasthan State,"Greenply Industries Limited (GIL)
Ankara, Turkey
www.borgacarbon.com",,Registered,17475,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,SGS United Kingdom Ltd. (SGS),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 28/03/2006 - 27/03/2016",,,,,,43
Jiratpattana Biogas Energy Project,"The Jiratpattana Biogas Energy Project (hereafter, the Project) that was developed by Thai Biogas Energy Company Ltd (hereafter referred to as “TBEC, ”or the Project Developer) is an anaerobic digestion project, which treats wastewater from the cassava processing factory owned by Jiratpattana Agriculture Limited (hereafter referred to as the Facility) in Kalasin, Thailand. In the baseline scenario, the wastewater flows from the factory through a series of 9 low-maintenance anaerobic and aerobic lagoons.  As the wastewater flows through the lagoons, organic material is broken down and resulting methane is released to the atmosphere.",Kalasin Province,"Thai Biogas Energy Company Ltd
HI, United States",,Registered,24726,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/10/2007 - 30/09/2017",,,,,,44
Zhoubai Hydroelectric Project,"The proposed project, Zhoubai Hydroelectric Project (hereafter, the Project), is developed by  Chongqing Wujiang Industry Group Co., Ltd (hereafter referred to as the Project Developer). The  Project is a new reservoir hydropower plant. The installed capacity of the Project is 22 MW, with a  reservoir with storage capacity of 12 million cubic meters. The project reservoir has a flooded area of 1.91km2 and a power density of 11.52 W/m2.The purpose of the proposed project is to utilize existing hydrological resources to generate electricity. The Project will generate certified emission reductions (CERs) by displacing electricity generation from grid connected fossil fuel-fired power plants that would otherwise be generating electricity needed.",Chongqing Municipality,"Chongqing Wujiang Industry (power) Group
Bogotá, Colombia
05713002832",,Registered,58051,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 25/08/2006 - 24/08/2016",,,,,,45
Wahei Hydroelectric Project,"The Wahei Hydroelectric Project (hereafter, the Project) is being developed by Sichuan Mabian  Xianjiapuhe Power Generation Co., Ltd. (hereafter referred to as the Project Developer), a county-level private company. The purpose of the Project is to utilize the hydrological resource of the Wahei River in a diversion type hydro power scheme to generate zero carbon emission electricity for the Central China Power Grid. The project will generate Certified Emission Reductions (CERs) by displacing electricity generation from grid connected fossil fuel-fired power plants that would otherwise be generating the electricity needed.",Sichuan Province,"Sichuan Mabian Xianjiapuhe Power Generation Co., L
Karnataka, India
+91-9820218416
clkale@savita.com",,Registered,177575,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 27/06/2020 - 26/06/2027",,,,,,46
Jinan Landfill Gas to Energy Project,"The Jinan Landfill Gas to Energy Project (hereafter, the “Project”) developed by Shandong Shifang New Energy Ltd (hereafter referred to as the “Project Developer”) is a landfill gas collection and utilization project located in the city of Jinan, Shandong Province, China (hereafter referred to as the “Host Country”). The project will have an electricity component with maximum installed capacity reaching 3.5 MW.    The Jinan landfill began operation in 1997 and currently holds approximately 3.84 million tonnes of waste. The 147,600 m2 landfill has an average depth of 20 metres and can currently expect an approximate daily input of 2,000 tonnes of domestic waste. The objective of the project is to collect and utilize the landfill gas (LFG) generated by the Jinan landfill.",Shandong Province,"Shandong Shifang New Energy Co., Ltd.
Montevideo, Uruguay
+(598) 29022120
juan.moran@atlanticayield.com",,Registered,112908,,,Energy industries (renewable/non-renewable sources),,"ACM0001,AMS-I.D.",,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 01/05/2020 - 30/04/2027",,,,,,47
Shandong Tuoji Island Wind Farm Project,"The objective of the Shandong Tuoji Island Windfarm Project is to generate renewable electricity utilizing wind power resources and to sell the generated output to the North China Power Grid (NCPG) on the basis of a Power Purchase Agreement (PPA). The project activity will generate greenhouse gas (GHG) emission reductions by avoiding CO2 emissions from electricity generation by fossil fuel fired power that is supplied to the NCPG.  The project activity is located in Yantai City, Shandong Province, and is developed by Changdao Liankai Wind Power Co., Ltd. The project activity is to install and operate 16 wind turbines, each of which has the capacity of 750 kW, therefore, the total installed capacity of the Shandong Tuoji Island Windfarm is 12 MW. The project is conservatively expected to supply about 23,628 MWh per year to NCPG. It is estimated ex-ante that the project will generate average annual emission reduction of about 24,988 tCO2e",Shandong Province,"Carbon Resource Management Ltd
Sichuan, China",,Late to verify,24998,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Det Norske Veritas Climate Change Services AS (DNV),05/05/2009,"3rd, 03/03/2021 - 02/03/2028",,,,,,48
Liaoning Huanren Niumaodashan Wind Power Project,"Liaoning Huanren Niumaodashan Wind Power Project is located in Huanren County, Benxi, Liaoning Province of China. The project is installed of 29 (7 Gamesa-52 and 22 Gamesa-58) wind turbines with a nominal capacity of 850 KW, providing a total installed capacity of 24.65MW. The estimated annual generation of the project is 53.93GWh. As a result, annual 61,739 tones of CO2 emission reduction are achieved by replacing equivalent electricity generated by Northeast China Power Grid, which is dominated by thermal power plants.",Liaoning Province,"CASC Longyuan (Benxi) Wind Power Co., Ltd.",,Registered,61739,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 07/12/2006 - 06/12/2016",,,,,,49
29.70 MW Wind Power project in Karnataka India,"Acciona Wind Energy Pvt. Ltd. (AWEPL) is an Indian Company and a 100% subsidiary of the Spanish Acciona group of companies, i.e. Acciona Energia Internacional, S.A. and Acciona, S.A. AWEPL has implemented a wind energy project as project owner with 18 wind turbines of 1.65MW each supplied by Vestas Wind Technology India Pvt. Ltd. totaling 29.70MW spread over two locations in close proximity in Jagalur taluk, Davangere district in the State of Karnataka. The project activity involves the development, construction, operation and maintenance of wind based electricity generation facilities connected to the grid.  The project supplies renewable electricity to the Karnataka State electricity grid and reduces greenhouse gas emissions caused by reliance on fossil fuels to that extent. The generated electricity is supplied to BESCOM (Distribution Company) under long-term Power Purchase Agreement (PPA) for a period of 20 years with a standard tariff of Rs.3.40 per kWh for the initial 10 years.",Karnataka,"ACCIONA WIND ENERGY PVT. LTD.
KARNATAKA, India
+91 80 41557100
rsapra@acciona.com",,Registered,88240,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 06/06/2008 - 05/06/2018",,,,,,51
Nascente Ceramic Fuel Switching Project,"The purpose of this project activity is to utilize renewable biomass available in the region for thermal energy generation. The project activity will indirectly help reduce Brazilian deforestation rates, Brazil's main source of greenhouse gas emissions. The project activity consists of a fuel-switch at Nascente Ceramic, which produces structural ceramic devices like bricks, for the local market of Panorama and its surroundings in the state of São Paulo. The firewood used in the ceramic was supplied by the state of Mato Grosso do Sul which is located in the mid-eastern region of Brazil. The project activity consists of using sawdust and sugar cane bagasse to feed the kilns of the ceramic rather than wood from areas with non-sustainable forest management, which does not at all enrich biodiversity. If the ceramic company has harvest issues with these renewable biomasses or is lacking them, the company can also use elephant grass and peanut shells.",San Paulo,Multiple Proponents,,Registered,9040,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2007 - 31/12/2016",,,,,,52
