section,start_page,end_page,id,filename
3.3 Optional Criterion: Climate Change Adaptation Benefits,41,41,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.3.1 Activities and/or processes implemented for Adaptation (GL1.3),41,42,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.1 Net Positive Community Impacts,42,42,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.1.1 Community Impacts (CM2.1),42,46,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.1.2 Negative Community Impact Mitigation (CM2.2),46,46,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"4.1.3 Net Positive Community Well-Being (CM2.3, GL1.4)",46,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.1.4 Protection of High Conservation Values (CM2.4),48,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.2 Other Stakeholder Impacts,48,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.2.1 Mitigation of Negative Impacts on Other Stakeholders (CM3.2),48,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.2.2 Net Impacts on Other Stakeholders (CM3.3),48,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.3 COMMUNITY IMPACT MONITORING,48,48,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"4.3.1 Community Monitoring Plan (CM4.1, CM4.2, GL1.4, GL2.2, GL2.3, GL2.5)",48,50,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.3.2 Monitoring Plan Dissemination (CM4.3),50,50,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.4 Optional Criterion: Exceptional Community Benefits,50,50,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.4.1 Short-term and Long-term Community Benefits (GL2.2),50,51,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.4.2 Marginalized and/or Vulnerable Community Groups (GL2.4),51,52,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.4.3 Net Impacts on Women (GL2.5),52,53,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
4.4.4 Benefit Sharing Mechanisms (GL2.6),53,55,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1 Net Positive Biodiversity Impacts,55,55,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.1 Biodiversity Changes (B2.1),55,61,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.2 Mitigation Actions (B2.3),61,61,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"5.1.3 Net Positive Biodiversity Impacts (B2.2, GL1.4)",61,62,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.4 High Conservation Values Protected (B2.4),62,62,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.5 Invasive Species (B2.5),62,62,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.6 Impacts of Non-native Species (B2.6),62,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.7 GMO Exclusion (B2.7),63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.1.8 Inputs Justification (B2.8),63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.2 Offsite Biodiversity Impacts,63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.2.1 Negative Offsite Biodiversity Impacts (B3.1) and Mitigation Actions (B3.2),63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.2.2 Net Offsite Biodiversity Benefits (B3.3),63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.3 Biodiversity Impact Monitoring,63,63,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"5.3.1 Biodiversity Monitoring Plan (B4.1, B4.2, GL1.4, GL3.4)",63,64,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.3.2 Biodiversity Monitoring Plan Dissemination (B4.3),64,64,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.4 Optional Criterion: Exceptional Biodiversity Benefits,64,64,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
5.4.1 Trigger Species Population Trends (GL3.3),64,64,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
1.4.1 Number of people,3,3,1748,1748_scrp_sd-vista-project-description-v2.pdf
1.4.2 Number of,3,4,1748,1748_scrp_sd-vista-project-description-v2.pdf
2.4.1 Agricultural,4,4,1748,1748_scrp_sd-vista-project-description-v2.pdf
3.8.1 Number of health,4,68,1748,1748_scrp_sd-vista-project-description-v2.pdf
4.1 Condition of Natural Capital and Ecosystem Services at Project Start,68,77,1748,1748_scrp_sd-vista-project-description-v2.pdf
4.2 Expected Impacts on Natural Capital and Ecosystem Services,77,86,1748,1748_scrp_sd-vista-project-description-v2.pdf
4.3 Natural Capital and Ecosystem Services Monitoring Plan,86,93,1748,1748_scrp_sd-vista-project-description-v2.pdf
4.4 Net Positive Natural Capital and Ecosystem Services Impacts,93,93,1748,1748_scrp_sd-vista-project-description-v2.pdf
"3.3 Data and parameters monitored / Selecting relevant GHG sources, sinks 22",2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
3.4 Description of the monitoring plan 23,2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
4.1 Explanation of methodological choice 24,2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
4.2 Quantifying GHG emissions and/or removals for the baseline scenario 27,2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
4.3 Quantifying GHG emissions and/or removals for the project 27,2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
4.4 Quantifying GHG emission reductions and removal enhancements for 27,2,2,663,663_v-3-i-01-s-0019_bwp_(vcs_pd)_by_sree_iswarya_textiles.pdf
A.1. Title of the project:,1,1,104,104_pdd_0025a_070220.pdf
A.2. Description of the project:,1,3,104,104_pdd_0025a_070220.pdf
A.3. Project participants:,3,4,104,104_pdd_0025a_070220.pdf
A.4. Technical description of the project:,4,4,104,104_pdd_0025a_070220.pdf
A.4.1. Location of the project:,4,7,104,104_pdd_0025a_070220.pdf
"A.4.2. Technology(ies) to be employed, or measures, operations or actions to be",7,12,104,104_pdd_0025a_070220.pdf
A.4.3. Brief explanation of how the anthropogenic emissions of greenhouse gases by,12,13,104,104_pdd_0025a_070220.pdf
A.5. Project approval by the Parties involved:,13,14,104,104_pdd_0025a_070220.pdf
B.1. Description and justification of the baseline chosen:,14,23,104,104_pdd_0025a_070220.pdf
B.2. Description of how the anthropogenic emissions of greenhouse gases by sources are,23,26,104,104_pdd_0025a_070220.pdf
B.3. Description of how the definition of the project boundary is applied to the project:,26,28,104,104_pdd_0025a_070220.pdf
"B.4. Further baseline information, including the date of baseline setting and the name(s) of the",28,29,104,104_pdd_0025a_070220.pdf
C.1. Starting date of the project:,29,29,104,104_pdd_0025a_070220.pdf
C.2. Expected operational lifetime of the project:,29,29,104,104_pdd_0025a_070220.pdf
C.3. Length of the crediting period:,29,30,104,104_pdd_0025a_070220.pdf
D.1. Description of monitoring plan chosen:,30,30,104,104_pdd_0025a_070220.pdf
D.1.1. Option 1 – Monitoring of the emissions in the project scenario and the baseline scenario:,30,38,104,104_pdd_0025a_070220.pdf
D.2. Quality control (QC) and quality assurance (QA) procedures undertaken for data monitored:,38,38,104,104_pdd_0025a_070220.pdf
D.3. Please describe the operational and management structure that the project operator will apply in implementing the monitoring plan:,38,38,104,104_pdd_0025a_070220.pdf
D.4. Name of person(s)/entity(ies) establishing the monitoring plan:,38,39,104,104_pdd_0025a_070220.pdf
E.1. Estimated project emissions:,39,39,104,104_pdd_0025a_070220.pdf
E.2. Estimated leakage:,39,39,104,104_pdd_0025a_070220.pdf
E.3. The sum of E.1. and E.2.:,39,39,104,104_pdd_0025a_070220.pdf
E.4. Estimated baseline emissions:,39,41,104,104_pdd_0025a_070220.pdf
E.5. Difference between E.4. and E.3. representing the emission reductions of the project:,41,42,104,104_pdd_0025a_070220.pdf
E.6. Table providing values obtained when applying formulae above:,42,43,104,104_pdd_0025a_070220.pdf
"F.1. Documentation on the analysis of the environmental impacts of the project, including",43,43,104,104_pdd_0025a_070220.pdf
F.2. If environmental impacts are considered significant by the project participants or the,43,44,104,104_pdd_0025a_070220.pdf
"G.1. Information on stakeholders’ comments on the project, as appropriate:",44,44,104,104_pdd_0025a_070220.pdf
A.1. Title of the small-scale project activity:,3,3,26,26_niaojiaga_registered_pdd.pdf
A.2. Description of the small-scale project activity:,3,4,26,26_niaojiaga_registered_pdd.pdf
A.3. Project participants:,4,4,26,26_niaojiaga_registered_pdd.pdf
A.4. Technical description of the small-scale project activity:,4,4,26,26_niaojiaga_registered_pdd.pdf
A.4.1. Location of the small-scale project activity:,4,6,26,26_niaojiaga_registered_pdd.pdf
A.4.2. Type and category(ies) and technology of the small-scale project activity:,6,7,26,26_niaojiaga_registered_pdd.pdf
A.4.3. Brief explanation of how the anthropogenic emissions of anthropogenic greenhouse gas,7,8,26,26_niaojiaga_registered_pdd.pdf
A.4.4. Public funding of the small-scale project activity:,8,8,26,26_niaojiaga_registered_pdd.pdf
A.4.5. Confirmation that the small-scale project activity is not a debundled component of a,8,10,26,26_niaojiaga_registered_pdd.pdf
B.1. Title and reference of the approved baseline methodology applied to the small-scale project,10,10,26,26_niaojiaga_registered_pdd.pdf
B.2 Project category applicable to the small-scale project activity:,10,17,26,26_niaojiaga_registered_pdd.pdf
B.3. Description of how the anthropogenic emissions of GHG by sources are reduced below,17,19,26,26_niaojiaga_registered_pdd.pdf
B.4. Description of how the definition of the project boundary related to the baseline,19,20,26,26_niaojiaga_registered_pdd.pdf
B.5. Details of the baseline and its development:,20,21,26,26_niaojiaga_registered_pdd.pdf
C.1. Duration of the small-scale project activity:,21,21,26,26_niaojiaga_registered_pdd.pdf
C.1.1. Starting date of the small-scale project activity:,21,21,26,26_niaojiaga_registered_pdd.pdf
C.1.2. Expected operational lifetime of the small-scale project activity:,21,21,26,26_niaojiaga_registered_pdd.pdf
C.2. Choice of crediting period and related information:,21,21,26,26_niaojiaga_registered_pdd.pdf
C.2.1. Renewable crediting period:,21,21,26,26_niaojiaga_registered_pdd.pdf
C.2.2. Fixed crediting period:,21,22,26,26_niaojiaga_registered_pdd.pdf
D.1. Name and reference of approved monitoring methodology applied to the small-scale,22,22,26,26_niaojiaga_registered_pdd.pdf
D.2. Justification of the choice of the methodology and why it is applicable to the small-scale,22,22,26,26_niaojiaga_registered_pdd.pdf
D.3 Data to be monitored:,22,24,26,26_niaojiaga_registered_pdd.pdf
D.4. Qualitative explanation of how quality control (QC) and quality assurance (QA),24,25,26,26_niaojiaga_registered_pdd.pdf
D.5. Please describe briefly the operational and management structure that the project,25,27,26,26_niaojiaga_registered_pdd.pdf
D.6. Name of person/entity determining the monitoring methodology:,27,28,26,26_niaojiaga_registered_pdd.pdf
E.1. Formulae used:,28,28,26,26_niaojiaga_registered_pdd.pdf
E.1.1 Selected formulae as provided in appendix B:,28,28,26,26_niaojiaga_registered_pdd.pdf
E.1.2 Description of formulae when not provided in appendix B:,28,31,26,26_niaojiaga_registered_pdd.pdf
E.2 Table providing values obtained when applying formulae above:,31,32,26,26_niaojiaga_registered_pdd.pdf
"F.1. If required by the host Party, documentation on the analysis of the environmental impacts",32,34,26,26_niaojiaga_registered_pdd.pdf
G.1. Brief description of how comments by local stakeholders have been invited and compiled:,34,35,26,26_niaojiaga_registered_pdd.pdf
G.2. Summary of the comments received:,35,37,26,26_niaojiaga_registered_pdd.pdf
G.3. Report on how due account was taken of any comments received:,37,37,26,26_niaojiaga_registered_pdd.pdf
A.1 Title of the small-scale project activity:,2,2,1961,1961_5442-_pdd.pdf
A.2. Description of the small-scale project activity:,2,4,1961,1961_5442-_pdd.pdf
A.3. Project participants:,4,4,1961,1961_5442-_pdd.pdf
A.4. Technical description of the small-scale project activity:,4,4,1961,1961_5442-_pdd.pdf
A.4.1. Location of the small-scale project activity:,4,7,1961,1961_5442-_pdd.pdf
A.4.2. Type and category (ies) and technology/measure of the small-scale project activity:,7,8,1961,1961_5442-_pdd.pdf
A.4.3 Estimated amount of emission reductions over the chosen crediting period:,8,8,1961,1961_5442-_pdd.pdf
A.4.4. Public funding of the small-scale project activity:,8,8,1961,1961_5442-_pdd.pdf
A.4.5. Confirmation that the small-scale project activity is not a debundled component of a,8,9,1961,1961_5442-_pdd.pdf
B.1. Title and reference of the approved baseline and monitoring methodology applied to the,9,9,1961,1961_5442-_pdd.pdf
B.2 Justification of the choice of the project category:,9,11,1961,1961_5442-_pdd.pdf
B.3. Description of the project boundary:,11,11,1961,1961_5442-_pdd.pdf
B.4. Description of baseline and its development:,11,12,1961,1961_5442-_pdd.pdf
B.5. Description of how the anthropogenic emissions of GHG by sources are reduced below,12,17,1961,1961_5442-_pdd.pdf
B.6. Emission reductions:,17,17,1961,1961_5442-_pdd.pdf
B.6.1. Explanation of methodological choices:,17,20,1961,1961_5442-_pdd.pdf
B.6.2. Data and parameters that are available at validation:,20,21,1961,1961_5442-_pdd.pdf
B.6.3 Ex-ante calculation of emission reductions:,21,22,1961,1961_5442-_pdd.pdf
B.6.4 Summary of the ex-ante estimation of emission reductions:,22,22,1961,1961_5442-_pdd.pdf
B.7 Application of a monitoring methodology and description of the monitoring plan:,22,22,1961,1961_5442-_pdd.pdf
B.7.1 Data and parameters monitored:,22,24,1961,1961_5442-_pdd.pdf
B.7.2 Description of the monitoring plan:,24,24,1961,1961_5442-_pdd.pdf
B.8 Date of completion of the application of the baseline and monitoring methodology and the,24,25,1961,1961_5442-_pdd.pdf
C.1 Duration of the project activity:,25,25,1961,1961_5442-_pdd.pdf
C.1.1. Starting date of the project activity:,25,25,1961,1961_5442-_pdd.pdf
C.1.2. Expected operational lifetime of the project activity:,25,25,1961,1961_5442-_pdd.pdf
C.2 Choice of the crediting period and related information:,25,25,1961,1961_5442-_pdd.pdf
C.2.1. Renewable crediting period,25,26,1961,1961_5442-_pdd.pdf
C.2.2. Fixed crediting period:,26,26,1961,1961_5442-_pdd.pdf
"D.1. If required by the host Party, documentation on the analysis of the environmental impacts",26,26,1961,1961_5442-_pdd.pdf
D.2. If environmental impacts are considered significant by the project participants or the host,26,26,1961,1961_5442-_pdd.pdf
E.1. Brief description how comments by local stakeholders have been invited and compiled:,26,27,1961,1961_5442-_pdd.pdf
E.2. Summary of the comments received:,27,27,1961,1961_5442-_pdd.pdf
E.3. Report on how due account was taken of any comments received:,27,27,1961,1961_5442-_pdd.pdf
2.3.7 Stakeholder Consultations (G3.4) 55,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.8 Continued Consultation and Adaptive Management (G3.4) 56,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.9 Stakeholder Consultation Channels (G3.5) 56,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.10 Stakeholder Participation in Decision-Making and Implementation (G3.6) 57,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.11 Anti-Discrimination Assurance (G3.7) 57,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.12 Feedback and Grievance Redress Procedure (G3.8) 58,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.13 Accessibility of the Feedback and Grievance Redress Procedure (G3.8) 59,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.14 Worker Training (G3.9) 59,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.15 Community Employment Opportunities (G3.10) 59,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.16 Relevant Laws and Regulations Related to Workers Rights (G3.11) 60,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.3.17 Occupational Safety Assessment (G3.12) 60,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4 Management Capacity 60,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.1 Project Governance Structures (G4.1) 60,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.2 Required Technical Skills (G4.2) 61,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.3 Management Team Experience (G4.2) 61,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.4 Project Management Partnerships/Team Development (G4.2) 62,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.5 Financial Health of Implementing Organization(s) (G4.3) 62,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.6 Avoidance of Corruption and Other Unethical Behavior (G4.3) 62,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.4.7 Commercially Sensitive Information (Rules 3.5.13 – 3.5.14) 62,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.5 Legal Status and Property Rights 63,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.5.1 Statutory and Customary Property Rights (G5.1) 63,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
2.5.2 Recognition of Property Rights (G5.1) 63,3,3,2623,2623_202305_ccb_vcs_project_description_komaza_clean.pdf
