ID,Proponents1,Proponents2,Proponents3,Proponents4,Proponents5,Proponents6,Proponents7,Proponents8,Proponents9,Proponents10,Other Entities,Other Entities2,Other Entities3,Other Entities4,Other Entities5,Other Entities6,Other Entities7,Other Entities8,Other Entities9
130,"Cerâmica Arrozal LTDA
Estrada Arrozal Pinheiral, km 10 - Piraí, Rio de Janeiro - CEP: 27.185-000
+55 (24) 3333-1108","Indústria José Vicente Sesto LTDA
 Zoelo Sola, 417 - Três Rios, Rio de Janeiro - CEP: 25.820-180
+55 (24) 2263-1267
http: // www.ceramicaggp.com.br/"," Cerâmica RJ Nunes LTDA
 Rua Odir Barros, 99 - Rio Várzea - Itaboraí, Rio de Janeiro - CEP: 24.800-000
 +55 (21) 2635-1531/ 2635-2581","Carbono Social Serviços Ambientais LTDA.:
R. Borges Lagoa, 1065 - Conj• 146 - Vila Clementino Postal Code: 04.038-032 São Paulo - SP, Brazil
 +55 11 2649 0036
http://www.socialcarbon.com
marcelo@socialcarbon.com
kupper@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,
143,"Cerâmica Bandeira Ltda
Cerâmica Capelli Ltda
Fazenda Fleixeiras, s/n° - Zona Rural - Capela - AL - Postal Code: 57.780-000
+55 (82) 3287-1188 / 3287-1339
ceramicabandeira@uol.com.br","Sustainable Carbon - Projetos Ambientais Ltda
R. Doutor Bacelar. 368 - Conj. 23 - Vila Clementino Postal Code: 04026-001 São Paulo - SP. Brazil
+55 11 2649 0036
tecnica@sustainablecarbon.com",,,,,,,,,,,,,,,,,
147,"ESWARI KNITTING WORKS
5/815, 284A, SE NO. 285A & PITCHAMPALAYAM PUDUR (POST), P.N. ROAD, TIRUPUR 641603, TAMILNADU.","ESWARI TEXTILE 
5/815, SF NO. 285A & 284A, PITCHAMPALAYAM PUDUR (POST) , P. N. ROAD, TIRUPUR 641603, TAMILNADU.","VICTUS ASSOCIAT
5/815, SE NO. 285A 284A, PITCHAMPALAYAM PUDUR (POST), P. N. ROAD, TIRUPUR 641603, TAMILNADU.","ESWARI GARMENTS
5/815, SF NO. 285A & 284A, PITCHAMPALAYAM PUDUR (POST), P. N. ROAD, TIRUPUR 641603, TAMILNADU.","SHANMUGA COMPACTS
S.F. NO. 276/1 & 275/6, THOTTIPALAYAM VILLAGE, SAKTHI NAGAR P.N. ROAD, TIRUPUR SOUTH, 641602, TAMILNADU.",,,,,,"R.S.J.OZONE PRIVATE LIMITED
42, S.V. COLONY EAST, 9TH STREET, P.N. ROAD TIRUPUR TAMIL NADU Postfix/ZIP: 641 602 INDIA
+ 91 - 421 - 4332460 / 2242460",,,,,,,,
158,"Cerâmica Menegalli Ltda
Rua João Barbosa, 340- Vila França, São Miguel do Guamá - Pará СЕР: 68660-000
+55 (91) 3446 1421","Carbono Social Serviços Ambientais Ltda
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino CEP: 04038 032, São Paulo - SP, Brasil
http://www.socialcarbon.com
thales@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,, ,,,,,,,
168,"Bhagyanagar India Limited & Surana Telecom and Power Limited
5"" Floor, Surya Towers Sardar Patel Road Secunderabad Andhra Pradesh Postfix/ZIP: 500003 India
040-27849988",,,,,,,,,,Suzlon Energy Limited,,,,,,,,
197,"Cerâmica Kamiranga Indústria e Comércio LTDA.
Estrada Santa Rita da Barreira, s/n° - km 04 - Zona Rural São Miguel do Guamá - Pará, Brazil Postal Code: 68660-000
+55 (91) 9112-8094
kamiranga@bol.com.br","Sustainable Carbon - Projetos Ambientais Ltda
R. Doutor Bacelar. 368 - Conj. 23 - Vila Clementino Postal Code: 04.026-001 São Paulo - SP. Brazil
+55 11 2649 0036
tecnica@sustainablecarbon.com",,,,,,,,,,,,,,,,,
198,"JL Silva Cerâmica ME.
Sitio Prata, s/n
Lajedo - Pernambuco - Brasil Postal Code: 55.385-000","Carbono Social Serviços Ambientais LTDA.
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino Postal Code: 55.845-000 São Paulo - SP, Brazil
+55 11 2649-0036
http://www.socialcarbon.com
gabriel@socialcarbon.com
marcelo@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
201,"R. Gonçalves Barbosa PP
Rodovia BR 010 - km 1809 - Bairro Industrial, São Miguel do Guamá - Pará Zip Code: 68660-000
+55 (91) 3446 1338","Carbono Social Serviços Ambientais Ltda
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino CEP: 04038 032, São Paulo - SP, Brasil
http://www.socialcarbon.com
thales@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
202,"Bom Jesus Ceramic
Engenho Belém, without number. Paudalho - Pernambuco, Brasil Zip Code: 55.825-000
 +55 (81) 3636-1200","Carbono Social Serviços Ambientais LTDA.
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino Postal Code: 55.845-000 São Paulo - SP, Brazil
+55 11 2649-0036
http://www.socialcarbon.com
gabriel@socialcarbon.com
marcelo@socialcarbon.com",,,,,,,,,,,,,,,,,
225,"C. Mahendra Exports Limited
1204 Panchratna 12""' Floor, Opera House Mumbai Maharashtra Posttix/ZIP: 400 004 India
+91 22-2382 6998
infonagindas@cmahendra.com",,,,,,,,,,,,,,,,,,
266,"Navalakha Translines
Hadapsar Industrial Estate 50-A Pune Maharashtra 411 013 India
(+ 91 20) 2681 6688
Navalakha@eth.net","General Industrial Controls Private Limited
M. I. D. C T-107,Bhosari Pune Maharashtra 411 026 India
(+ 91 20) 3068 0001 to 29
gic@pn2.vsnl.net.in","Hotel Golden Emerald
Gultekdi, Near Salisbury Park, 473 / 14 B, Pune Maharashtra 411 037 India
(+ 91 20) 2427 881
vsl@accesset.in","Sulbha Subhash Lodha
Pune - Satara Road, 10, Vikram Bunglow, Rituraj Society Pune Maharashtra 411 037India
(+ 91 20) 2421 6061
vsl@accesset.in","Esbee Industrial Combines
M. I. D. C J- 159, Bhosari Pune Maharashtra 411 026 India
(+ 91 20) 3068 1017/18
esbee@pn2.vsnl.net","Sanjana Power
116,Bajaj Bhawan, 11"" floor, Nariman Point, Bajaj Bhawan Mumbai Maharashtra 400 021 India
+91-22-22854662, 22854663
scsl@bom8.vsnl.net.in","Dhoot Power 
504,Raheja Centre, 214,Nariman Point Raheja Centre Mumbai Maharashtra 400 021 India
+91-22-22845050,22835152
rkdhoot@vsnl.com","Shri. J. G. Thakkar 
699, Shaniwar Peth, Thackar Chambers, Satara Maharashtra 415 002. India
(+ 91 2162) 231989
thackarconstruction@gmail.com","Keshav Pharmachem Pvt. Ltd.
Ring Road 3021, Adarsh Market -2, Surat Gujarat ZIP: 395 001. India
0261-2236426
gargsurat@yahoo.com
ranjit18sg@gmail.com,","Maharashtra Gujarat Transport Services
Aziz Baug 1, B- wing, Sita Estate, Chembur Mumbai Maharashtra 395 001. India
0261-2236426
gargsurat@yahoo.com
ranjitl8sg@gmail.com",,,,,,,,,
288,"Red Hills Wind Project, L.L.C.
333 West Wacker Dr. Suite 1500 Chicago IL 60606 United States of America
(312)673-3000
jkoop@acciona-na.com",,,,,,,,,,,,,,,,,,
314,"Sangeeth Textiles Limited
Ganeshpuram post, Via S.S Kulam 551 Annur, Coimbatore district Tamil Nadu India
+91 422-2654101
sangeeth@md3.vsnl.net.in
http://www.sangeethtextiles.com","Shri Mookambiga Spinning Mills Limited
Ganeshpuram post, Via S.S Kulam 551 Annur, Combatore district Tamil Nadu India
+91 422-2654101
sangeeth@md3.vsnl.net.in","C.A. V Cotton Mills Limited
Ganeshpuram post, Via S.S Kulam Annur, Combatore district Tamil Nadu India
+91 422-2654101
sangeeth@md3.vsnl.net.in","Sri Vasudeva Textiles Limited
Ganeshpuram post, Via S.S Kulam 551 Annur, Coimbatore district Tamil Nadu India
+91 422-2654101
sangeeth@md3.vsnl.net.in",,,,,,,,,,,,,,,
324,"Kanaka Management Services Pvt. Ltd. (KMSPL) Bangalore
# 271, SFS 407, 4"" Phase, Yelahanka New Town Bangalore Karnataka 560064 India
+919008167850
kmscdm@gmail.com
nandagopalkms@gmail.com",,,,,,,,,,,,,,,,,,
347,"Indian Wind Power Association
Besant Avenue, Adyar No. 40 (Ground Floor) Chennai Tamil Nadu India
044 - 45504036
iwpahq@rediffmail.com","Sree Ayyanar Spinning and Weaving Mills Limited
Mallanginar Mill premises Near virudhunagar Tamil Nadu India
04566 - 304100
mail@ayyanar.com","PIONEER JELLICE INDIA PRIVATE LIMITED
23, Vallabhai Road, Chokkikulam Madurai - 625 002. Tamil Nadu India
0452 2534099
pioneeriellice@pioneerasia.com","Meenasankar Enterprises
17-A, Virudhunagar Road Boopathy Buildings Sivakasi - 626 123 Tamil Nadu India
04562 222422
export@pioneerasia.com","PIONEER OVERSEAS (P) LTD.
17-A, Virudhunagar Road Boopathy Buildings Sivakasi - 626 123 Tamil Nadu India
04562 222422
export@pioneerasia.com",,,,,,,,,,,,,,
354,"Cerâmica Assunção LTDA
Av. Noé Leite de Freitas, 4677 - Lot. Parque da Piranha, Postal Code: 61700-000 Aquiraz - CE Brazil
+55 85 3260 9753
vendas@grupotavares.ind.br","Sustainable Carbon - Projetos Ambientais Ltda
R. Doutor Bacelar. 368 - Conj. 23 - Vila Clementino Postal Code: 04.026-001 São Paulo - SP. Brazil
+55 11 2649 0036
tecnica@sustainablecarbon.com",,,,,,,,,,,,,,,,,
360,"Indian Wind Power Association
Besant Avenue, Adyar No. 40 (Ground Floor) Chennai Tamil Nadu India
044 - 45504036
iwpahq@rediffmail.com","VXL Systems59,
SIDCO Industrial Estate Combatore - 641 021 Tamil Nadu Chennai
0422 - 2672874,0422 2673897
vxl@vsnl.com","Sri Saradambika Spintex (P) Ltd.
S.F.No.526/2B, Bilichi Post, Maddampalayam Coimbatore-641 019 Tamil Nadu India
04254-272390,272006
saradha@rediffmail.com","Hotel Maris 
No.11, Cathedral road Chennai - 600 086 Tamil Nadu India
044-8270541","C.R.I. Pumps Private Limited
7/46-1, Keeranatham road Saravanampatty Coimbatore - 641 035Tamil Nadu India
+91-422 2669971
corporateoffice@cripump.com","Rajnikanth Foundation
603-'C', Block Pioneer complex, 1075, avanashi road Coimbatore-641 018 Tamil Nadu India
0422-6585908,6586908
rsmauto@vsnl.com","RSM Autokast Ltd.
603-C', Block Pioneer complex, 1075, avanashi road Coimbatore-641 018 Tamil Nadu India
0422-6585908,6586908
rsmauto@vsnl.com","D.B.V. Cotton Mills P. Ltd.
S.F.No. 206, Narasmhanaickenpalayam Coimbatore - 641 031 Tamil Nadu India
0422 - 2460168, 2460227
dbv_cottonmills@yahoo.com","Indo Shell Cast Pvt. Ltd.
A-14, Sidco Industrial Estate, Coimbatore-641021 Tamilnadu India
422 3041600,0422 3041612
sivanandhanr@indoshellcast.com","Century Flour Mills Limited
P.O.Box. No. 1674, First Floor, Esplanade Indian Chamber Buildings Chennai - 600 108 Tamil Nadu India
044 - 2534 2043/44
cfmlho@vsnl.in
cfmlho@dataone.in",,,,,,,,,
361,"Indian Wind Power Association
Besant Avenue, Adyar No. 40 (Ground Floor) Chennai Tamil Nadu India
044 - 45504036
iwpahq@rediffmail.com","Al-Lan Texknit Processors
F-41/A, Anna Nagar EastChennai - 600 102 Tamil Nadu India
91-44-2626 3875/9673/3938/4240
kvr@aie-group.com","Century Flour Mills Limited.
First Floor, Esplanade Indian Chamber Buildings Chennai 600108 Tamil Nadu India
044 25342043/44
cimlho@vsnal.in","Hydro S&S Industries Ltd
827, Anna Salai Dhun Building Chennai Tamil Nadu India
044-28521736
info@hssil.com","Rangamma Steels & Malleables
603-'C', Block Pioneer complex, 1075, avanashi road Coimbatore-641 018 Tamil Nadu India
0422-6585908,6586908
http://vsnl.com","Indo shell Cast Private Limited
A-14, Sidco Industrial Estate, Coimbatore-641021 Tamilnadu India
422 3041600,0422 3041612
sivanandhanr@indoshellcast.com","Ultimate Alloys Private Limited
Kannampalayam Village, Trichy Road, Sulur, Palladam Taluka SF No. 138/1-A, B, C, Coimbatore-641402, Tamil Nadu India
0422 2681728, 0422 2688066
ultimate@ultimatealloys.com","Muthoot Fincorp Limited
Muthoot Centre Thiruvanthapuram Tamil Nadu India
0471 2331427
muthoot@muthoot.com","Natesan Synchrocones Pvt. Ltd.
54/4, Paul Wells Road, Sri Puram ColonyST. Thomas Mount, Chennai-600 016 Tamil Nadu, India
044-23450823
corporate@natesan.co.in",,,,,,,,,,
369,"GTP GRANITES LIMITED
Bharathi Street, 636004 4/36 Swarnapuri, Salem Tamil Nadu India
+91 427 2346392
info@gtpgranites.com","VIKING TEXTILES PRIVATE LIMITED
Avanashi Road, 641603 531 Tirupur Tamil Nadu India
+91 421 2244840
vikingknitters@yahoo.co.in","VIKING KNITTERS
Avanashi Road, 641603 531 Tirupur Tamil Nadu India
+91 421 2244840
vikingknitters@yahoo.co.in","S. MUTHURAJAN
Bharathi Street, 636004 4/36 Swarnapuri, Salem Tamil Nadu India
+91 427 2346392
info@gtpgranites.com","ASHOK GRANITES LIMITED
Bharathi Street, 636004 4/36
Swarnapuri, Salem Tamil Nadu India
+91 427 2346392
info@gtpgranites.com","GLOBAL CALCIUM PRIVATE LIMITED
100 Feet Road, 560095 No. 1, V Block, Koramangala Bangalore Karnataka India
+91 80 40554500
info@globalcalcium.com",,,,,,,,,,,,,
383,"Skill Lotto Solutions Pvt. Ltd
600005, No. 11, Ponnappa Lane, Triplicane, Chennai Tamil Nadu, India
9840915266
ramesh.babu@sugaldamani.com","Coral Drugs Private Limited
110001, 1001, Akash Deep Building, 26 - A Barakhamba Road, New Delhi New Delhi India 
9911263336
coral@coraldrugs.com
kapil@coraldrugs.com","Wires & Fabriks (S.A.) Limited.
302012, Industrial Area, Jhotwara, Jaipur Rajasthan, India
9351329091
http://wirefabrik.com","S. Athappan
620 020 A3, Ramakrishna Nagar, Kallukuzhi, Trichy Tamil Nadu, India
9842814061, 9842814062
classicchennai@gmail.com","Sri Devi Oil Private Limited
637206 SF No. 279/6, Villipalayam, Paramathi Velur Taluka Namakkal, Tamil Nadu, India
9944967617, 9443267533
contact@sridevioil.com","Sivasakthi Threads
641604 253, Mangalam Road, Tirupur, Tamil Nadu, India
0421 4326810
sales@threadking.com","Frontier Knitters
641 601 64, Process Server Street, Tirupur, Tamil Nadu, India
9843040970, 9677749361
jerry_ sharan@rediffmail.com
sureshram@sify.com","Meenakshi Udyog (India) Private Limited
600 008 No. 19. Illrd Floor, Alsamall, 4, Montieth Road, Egmore, Chennai, Tamil Nadu, India
9841077846
meenakshiudyogindia@gmail.com","G D Textiles Pvt Ltd & Shakti Cords Private Limited
625020 Plot No. 496, Vinayagar Nagar, Madurai, Tamil Nadu, India
9345251480
office@indtextile.com",,,,,,,,,,
410,"RANKA - N - RANKA INFRASTRUCTURE PRIVATE LIMITED
560052, Chunningham Road Ranka Chambers, 31 Bangalore Karnataka India
+91 80 22260426
ranka@vsnl.com","P. M. GRANITE EXEPORT PRIVATE LIMITED
560041 No. 129, 7 Main, 5"" Block, Jayanagar Bangalore Karnataka India
+91 80 26534959
pmexports@vsnl.net","M. BABANNA
560041 No. 129, 71 Main, 5"" Block, Jayanagar Bangalore Karnataka India
+91 80 26534959
pmexports@.vsnl.net",,,,,,,,,,,,,,,,
420,"Chhotabhai Jethabhai Patel & Co. 
C. J House, Motapore Nadiad Gujarat India
0268-2562633-34-35
ceejaygroup@yahoo.co.in","Riviera Home Furnishing Pvt. Ltd.
Behind Khadi Ashram G.T Road, Panipath Haryana India
+91.180.266.8401,02
riviera@rivieratex.com","Rajoverseas
Huda, Panipat-132103 Plot No-149-154; Sector 25 Panipat Haryana India
","Jindal Dyechem Industries Pvt. Ltd.
110 Babar Road Opposite World Trade Center New Delhi Delhi India","Kajaria Plus Pvt. Ltd.
J-1; B-1 Extention Modern Cooperative Industrial estate Mathura road; New Delhi Delhi India","Kajaria Ceramics Ltd.
J-1; B-1 Extention Modern Cooperative Industrial estate Mathura road; New Delhi Delhi",,,,,,,,,,,,,
424,"Mac Charles (India) Limited
Number 28, Sankey road, 560 052, Le- Meredian Bangalore Karnataka India
+91 80 2226 2233, +91 80 2228 2828
leme.bangalore@lemeridien.com","Ramkumar Mills Private Limited
Post Box Number 1044, Rajajinagar, 560010 Bangalore Karnataka India
+91 80 23301686 / 23153996 | 23205796
mail@ramkumarmills.com","R. Kuppuswamy
Residency Road, 560025 No. 44-45, 2nd Floor Leo Complex Bangalore Karnataka India
+91 80 25581410 / 25594641","Vikram Traders
560061 Subramanyapura Bangalore Karnataka India
+91 80 26661594 / 26661595 / 26661596",,,,,,,,,,,,,,,
429,"Pragati Agencies
Vishnu Chambers, Shahu Corner, Ichalkarnji - 416 115, District Kolhapur, Maharashtra, India.
0230-2432552
vishnutx@bsl.invishnutx@sancharnet.in","Umang Textiles
Vishnu Chambers, Shahu Corner, Ichalkarnji - 416 115, District Kolhapur, Maharashtra, India.
0230 -2432552
vishnutx@bsnl.invishnutx@sancharnet.in","Ankur Textiles
Vishnu Chambers, Shahu Corner, Ichalkarnji - 416 115, District Kolhapur, Maharashtra, India.
0230 -2432552
vishnutx@bsnl.invishnutx@sancharnet.in","Vandana Textiles
Vishnu Chambers, Shahu Corner, Ichalkarnji - 416 115, District Kolhapur, Maharashtra, India.
0230 -2432552
vishnutx@bsnl.invishnutx@sancharnet.in","Sun Irrigation System (P) Ltd.
Post Box No. 162, 10/276 Kapad Market, Ichalkarnji- 416 115, Dist. Kolhapur, Maharashtra, India
91-93260 10101
ovc_sunflow@rediffmail.com
kpr_sunfab@rediffmail.com","Jathar Textiles Pvt Ltd.
6"" Lane, Gat No. 747/1, Plot No. 32 to 35, Post. Ganganagar, Ichalkarnji - 416 116, Maharashtra, India
91-9822065037
jathargroup@sancharnet.in","Aerolex Cablenet
""Aerolex Center"", No. 109, 3rd Floor, K. H. Road, Bangalore-560 027, India
91-9945511025
aerolex@vsnl.com","B. S. Channabasappa& Sons
Cloth Merchants, 1194, Kalikadevi Road, Davangere - 577 001, Karnataka
08192-231348, 222170
bscdvg@rediffmail.com","Air Control (India) Pvt. Ltd.,
Adam's Court, Baner Road, Pune- 411 045, Maharashtra, India
91-9764499933
aircontrolindia@gmail.com","Bengal Cardboard Industries & Printers Pvt. Ltd.
Oricon House, 4"" floor, 12 Rampart Road, Fort, Mumbai- 400 023, India
91-9869421174
sarafdevelopers@gmail.com",,,,,,,,,
431,South Pole Carbon Asset Management Ltd.,"MITCON Consultancy Services Ltd.
Kubera Chamber, Shivajinagar Pune - 411 005 India",,,,,,,,,,,,,,,,,
438,"South Pole Carbon Asset Management Ltd.
Technoparkstrasse 1 8005 Zürich Switzerland
http://www.southpolecarbon.com",,,,,,,,,,,,,,,,,,
447,"Mantri Developers Private Limited
Vittal Mallaya Road Mantri House, # 41 Bangalore-560001 Karnataka India
080-41345676
Prakash.hegde@mantri.in","Allegro Ventures India Private Limited
Balmatta Road, S/5B, Cryatal Arc, 2nd Floor, Mangalore -575001 Karnataka India
0824 - 4250186
allegroventures@gmail.com","BSK Trading Inc.
80 feet Road # 12, Padmanabhnagar Bangalore Karnataka India
080-26694900","Shakhambhari Enterprises
T Main # 293, Behind D.G. Hospital, Padmanabhnagar Bangalore-560070 Karnataka India
080-2669490
hbsunil.co@gmail.com","Amitronics Private Limited
Hosur Road Building No: 126-B Bangalore Karnataka India
080-28520421
anuj@amitronics.org","Indian Wind Energy Association
PHD House, New Delhi-110010 New Delhi India
011-26523042
manish@inwea.org",,,,,,,,,,,,,
455,"Maracá Ceramic
Avenida Manoel Afonso Cancella, 571 Setor Industrial Norte - Ituiutaba CEP: 38301-196
+55 (34) 3268-5400
http://www.ceramicamaraca.com.br","Carbono Social Serviços Ambientais LTDA.
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino СЕР: 04.038-032 São Paulo - SP, Brazil
+55 11 2649-0036
http://www.socialcarbon.com
kupper@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
456,"Barro Forte Ceramic. Industrial Establishment: AGROINDUSTRIAL BARRO FORTE LTDA.
BR 232, Km 171 Tacaimbó - Pernambuco, Brasil Zip Code: 50.140-000
+55 (81) 3709-5001
ceramicabarroforte@yahoo.com.br","Sustainable Carbon - Projetos Ambientais Ltda.
BR 232, Km 171 Tacaimbó - Pernambuco, Brasil Zip Code: 50.140-000
+55 (81) 3709-5001
ceramicabarroforte@yahoo.com.br","Sustainable Carbon - Projetos Ambientais Ltda.
R. Doutor Bacelar. 368 - Conj. 23 - Vila Clementino Postal Code: 04.026-001 São Paulo - SP. Brazil
+55 11 2649 0036
tecnica@sustainablecarbon.com",,,,,,,,,,,,,,,,
495,"Savita Oil Technologies Ltd.
66/67, Nariman Bhavan, Nariman Point, Mumbai Maharashtra Postfix/ZIP: 400021 India
+91-22 - 2288 3061-2-3-4
savitapolymers@yahoo.co.in","Rajesh Construction Company Limited
M.I.D.C. Cross Road ""B"", Off Andheri Kurla Road, R B House, Andheri (E), Mumbai Maharashtra 400059 India","Smita Steels Rolling Mills Pvt. Ltd.
213/214,Gokul Arcade, Andheri-Sahar Road Vile Parle (E), Mumbai Maharashtra Postfix/ZIP: 400057 India","S. Jogani Exports Pvt. Ltd. 101, Shreeji Chambers, Tata Road No. 2
Opera House Mumbai Maharashtra 400004 India","Dhanlaxmi Fabrics Limited
Bhopar Village, Manpada Road, Behind Anand Chemicals, Dombivli (E) Maharashtra 421204 India
+91-22- 2870590/ 2870592
info@dfl.net.in",,,,,,,,,,,,,,
