inputs.question,inputs.answer,inputs.context,inputs.ground_truth,self_harm,violence_reason,sexual_reason,hate_unfairness,gpt_groundedness_reason,sexual,hate_unfairness_reason,violence,self_harm_reason,gpt_coherence,gpt_fluency,gpt_groundedness,gpt_relevance,gpt_similarity,f1_score,index,status
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2023-01-01', 'crediting_period_end': '2052-12-31'}","[['Crediting period', None, None, '', '☐ Seven years, twice renewable', ''], [None, None, None, None, '☐ Ten years, fixed', None], [None, None, None, None, '☒ Other (30 years)', None], ['', 'Start and end date of', '', '01-January-2023 to 31-December-2056 (monitored every 5\nyears)', '01-January-2023 to 31-December-2056 (monitored every 5', None], [None, 'first or fixed crediting', None, None, 'years)', None], [None, 'period', None, None, None, None]]
1.10 Project Crediting Period
The entire grouped project crediting period is 35 years from the project start. However, each
cohort will have a cohort crediting period of 30 year. This means there is a total of 5 cohorts with
each 30 years crediting period. There will be a digital Monitoring Validation and Reporting (dMRV)
every 5 years within one cohort but so that every year Urstamm will be monitoring and issuing
credits at to one of the cohorts.
The VCS Program requirements sets the project crediting period by a minimum of 20 years.
Therefore, the project fulfils the requirements ( on page 27) with a crediting period of 30 years.
(Verra, 2022)","{'crediting_period_start': '2023-01-01', 'crediting_period_end': '2052-12-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","5","1","91","Completed"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Gansu Province'}","1.9 Project Location
The proposed project has been implemented in rural areas of Ganzhou District of Zhangye in
Gansu province. The details are illustrated in the following maps in Figure 1.
Gansu
Province
Gansu Province
Ganzhou
District
Zhangye
Figure1: Geographic Location of Heqing Solar Cooker Project I
v3.3 5

PROJECT DESCRIPTION : VCS Version 3","{'project_state_province': 'Gansu'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.8","92","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
Sectoral Scope 1: Energy industries (renewable sources)
Project Activity: Grid connected electricity and heat generation from biomass residues
The project is not a grouped project.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","93","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
Sectoral scope 01: Energy industries (renewable - / non-renewable sources) (Type I Component)
Sectoral scope 13: Waste handling and disposal (Type III Component).
The project is not a grouped project.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","94","Completed"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Paraguay'}","1.12 Project Location
28

[['', 'Trementina', 'San Liberato'], ['Total eligible project area', '13,191', '13,807'], ['• Plantable area', '7,371', '7,344'], ['• Natural restoration area', '5,820', '6,463'], ['Non-eligible area', '3,946', '5,032'], ['Total Area (ha)', '17,137', '18,839']]
The Grouped Project is located in the Oriental region of Paraguay, comprising the area with a
250 kilometers distance from the planned pulp mill site, The project is bordered by the left
banks of Paraguay River in the west and the border with Brasil in the north and east. The
Grouped Project will potentially figure into the departments of Concepción, Amambay, San
Pedro y Canindeyu.
The region where PARACEL properties are located, has favourable and competitive conditions
for the growth of Eucalyptus plantations, as is already the case with plantations established in
Brazil, Argentina, and Uruguay. Paraguay's proximity to countries with a great tradition in
planted forests, such as Brazil and Argentina, favours the contribution of technology and
genetic materials for initial plantings and the genetic basis for the future development of
superior materials adapted to local conditions.
The First Project Instance is composed of two farms located approximately 130 km from the
urban center of Concepcion city.
Table 4: First project activity instances included in this project
Source: Paracel’s map database8","{'project_state_province': 'Concepción', 'project_country': 'Paraguay'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.67","95","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","A.4.2. Type and category (ies) and technology/measure of the small-scale project
activity:
The project activity is electricity generation from wind energy which is a renewable resource.
The generated electricity is then exported to the NEWNE grid. The project hence can be
considered under “Grid-connected electricity generation from renewable sources”. The
project activity has a capacity less than 15 MW (limit for small scale project). Therefore as
per the scope of the project activities enlisted in the list of sectoral scopes and related
approved baseline and monitoring methodologies, the project activity is a small scale project
and may principally be categorized as:
Sectoral Scope : 01
Project Type : Energy Industries (renewable / non-renewable sources)
Project category : D – Grid connected renewable electricity generation (AMS
I.D.,Version 15, EB -50)
Technology Used:
In wind energy generation, kinetic energy of wind is converted into mechanical energy and
subsequently into electrical energy. Wind has considerable amount of kinetic energy when
blowing at high speeds. This kinetic energy when it passes through the blades of the wind
turbines, it is converted into mechanical energy and rotates the wind blades. When the wind
blades rotate, the connected generator also rotates, thereby produce electricity.
The WEGs have high-speed asynchronous generator with a multi-stage intelligent switching
compensation system designed for high output efficiency. The technology is a clean
technology since there are no GHG emissions associated with the electricity generation. The
project installs 4 nos. (V82) Vestas make WEGs of 1.65 MW capacity each and 5 nos. of (S-
82) Suzlon make WEGs of 1.5 MW capacity each. Salient features of V-82 & S-82 WEGs are
as follows.
Technical Specifications of 1.65 MW WEG
(VESTAS V82/1650)2
Operational Conditions
Calculated lifetime : 20 years
Cut in wind speed : 3.5 m/s
Cut out wind speed : 20 m/s
Maximum rotational speed : 14.4 rpm
Main Specification
Rotor diameter : 82 m
Numbers of blades : 3
Rotational speed (synchronous) : 14.4 rpm
Nominal power : 1650 kW
Hub height : 78 m
Rotor
Swept area : 5281 m2
Blade
2 As per supply agreement with M/s Vestas India Private Limited
7

PROJECT DESIGN DOCUMENT FORM (CDM-SSC-PDD) - Version 03
CDM – Executive Board
Material : Carbon Fiber/Epoxy/Wood
Blade length : 40 m
Air brake : Full blade
Hub
Type : Spherical
Main Shaft
Type : Forged shaft and flange
Front bearing : Spherical roller bearing
Main Gear Box
Gear Ratio : 1:70.2
Mechanical power : 1800 kW
Generator
Nominal load : 1650 kW
Insulation class : F / B
Yawing System
Yaw bearing type : Ball bearing, Internal bearing
Yaw motor : 6 nos.
Yaw gear : 6 pcs.
Gearing Ratio : 1:1666
Yaw brake : Hydraulic disc brake, 6 pcs.
Mechanical Brake
Type : Fail safe – Hydraulic release
Position : Mounted on high speed shaft
Tower
Type : Conical Tubular
Height : 75.5 m
Control System
Manufacture : VESTAS Control System
Type : Microprocessor based
Technical Specifications of 1.5 MW WEG
(SUZLON S 82/1500 kW)3
Rotor
Rotor diameter : 82 m
Installed capacity : 1500 kW
Rotor material : Fiber Glass / Epoxy
Rotor swept area : 5281 m2
Cut in wind speed : 4 m/s
Cut out wind speed : 20 m/s
3 As per purchase order to M/s Suzlon India Limited
8

PROJECT DESIGN DOCUMENT FORM (CDM-SSC-PDD) - Version 03
CDM – Executive Board
Rotational speed : 15.6 /18.4 rpm
Generator
Type : Asynchronous, 4 poles
Rotational speed : 1511 rpm
Rated output : 1500 kW
Operating voltage : 690 V
Frequency : 50 Hz
Insulation class : H
Cooling system : Air cooled
Gear Box
Type : 3 stage gear box, 1 planetary & 2 helical
Gear ratio : 1:95.09
Manufacturer : Winergy
Nominal load : 1500 KW
Type of cooling : Oil cooling system
Yaw Drive System
Method of operation : 4 active electrical yaw motors
Yaw bearing : Polyamide slide bearing
Safety System
Aerodynamic brakes : 3 times independent pitch regulation
Mechanical brake : Spring powered disc brake hydraulically released
fail safe
Control unit : Microprocessor controlled, Indicating actual
Operating Conditions, UPS Backup system
Design standards : GL/IEC","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","96","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","A.4.2.1. Type and category
Scale: Small scale project
Type I: Renewable energy projects
Category I.D: Renewable electricity generation for the national power grid.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","97","Completed"
"What is the methodology of this project?","No relevant information found in context","[['Applicability Criterion', 'Project Case']]
2.2 Applicability of Methodology
The project activity involves generation of grid connected electricity from renewable solar energy.
The project status corresponding to the methodology ACM0002 version 19 and applicability of
methodology is discussed below.
3 Guidelines referred to determine benchmark for sub-project 100 MWAC at Veltoor, Telengna because it was the
latest version of guidelines available at the time of decision making.
4 Guidelines referred to determine benchmark for sub-projects 50 MWAC and 20 MWAC in Dhule, Maharashtra
because it was the latest version of guidelines available at the time of decision making.
5 Referred to demonstrate additionality
v3.1 12

[['Applicability Criterion', 'Project Case'], ['This methodology is applicable to grid-connected\nrenewable energy power generation project activities\nthat:\n(a) Install a Greenfield power plant;\n(b) Involve a capacity addition to (an) existing\nplant(s);\n(c) Involve a retrofit of (an) existing operating\nplants/units;\n(d) Involve a rehabilitation of (an) existing\nplant(s)/unit(s); or\n(e) Involve a replacement of (an) existing\nplant(s)/unit(s)', 'The proposed project activity is a\nGreenfield, grid connected renewable\npower project. The project activity uses\nrenewable solar source to generate\nelectricity that will be fed into the Indian\ngrid. In the absence of the project\nactivity this power would have been\nproduced by the current grid generation\nmix which is predominantly fossil fuel\nbased, thus the project activity meets\nthis criterion.']]
JOINT PROJECT DESCRIPTION & MONITORING REPORT:VCS Version 3
v3.1 13

[['Applicability Criterion', 'Project Case'], ['The methodology is applicable under the following\nconditions:\na) The project activity may include renewable\nenergy power plant/unit of one of the following\ntypes: hydro power plant/unit with or without\nreservoir, wind power plant/unit, geothermal\npower plant/unit, solar power plant/unit, wave\npower plant/unit or tidal power plant/unit;\nb) In the case of capacity additions, retrofits,\nrehabilitations or replacements (except for\nwind, solar, wave or tidal power capacity\naddition projects the existing plant/unit started\ncommercial operation prior to the start of a\nminimum historical reference period of five\nyears, used for the calculation of baseline\nemissions and defined in the baseline\nemission section, and no capacity expansion,\nretrofit, or rehabilitation of the plant/unit has\nbeen undertaken between the start of this\nminimum historical reference period and the\nimplementation of the project activity.', 'The proposed project activity is the\ninstallation of a greenfield solar power\nplant/unit. Therefore, the project activity\nis satisfying the said criteria.'], ['In case of hydro power plants, one of the following\nconditions shall apply:6\n\uf0b7 The project activity is implemented in existing\nsingle or multiple reservoirs, with no change in\nthe volume of any of the reservoirs; or\n\uf0b7 The project activity is implemented in existing\nsingle or multiple reservoirs, where the volume of\nthe reservoir(s) is increased and the power\ndensity calculated using equation (3), is greater\nthan 4 W/m2; or\n\uf0b7 The project activity results in new single or\nmultiple reservoirs and the power density,\ncalculated using equation (3), is greater than\n4 W/m2; or\n\uf0b7 The project activity is an integrated hydro power\nproject involving multiple reservoirs, where the', 'The proposed project activity involves\ninstallation of a solar power plant/unit.\nAs the criteria are related to hydro\npower project, therefore, the said criteria\nare not applicable.']]
JOINT PROJECT DESCRIPTION & MONITORING REPORT:VCS Version 3
6 Project participants wishing to undertake a hydroelectric project activity that result in a new reservoir or an increase in the volume
of an existing reservoir, in particular where reservoirs have no significant vegetative biomass in the catchments area, may
request a revision to the approved consolidated methodology.
v3.1 14

[['Applicability Criterion', 'Project Case'], ['power density for any of the reservoirs,\ncalculated using equation (3), is lower than or\nequal to 4 W/m2, all of the following conditions\nshall apply:\n(i) The power density calculated using the\ntotal installed capacity of the integrated\nproject, as per equation (4), is greater than\n4 W/m2;\n(ii) Water flow between reservoirs is not used\nby any other hydropower unit which is not\na part of the project activity;\n(iii) Installed capacity of the power plant(s) with\npower density lower than or equal to\n4 W/m2 shall be:\na. Lower than or equal to 15 MW; and\nb. Less than 10 per cent of the total\ninstalled capacity of integrated hydro\npower project.', ''], ['In the case of integrated hydro power projects,\nproject proponent shall:\n\uf0b7 Demonstrate that water flow from upstream\npower plants/units spill directly to the\ndownstream reservoir and that collectively\nconstitute to the generation capacity of the\nintegrated hydro power project; or\n\uf0b7 Provide an analysis of the water balance\ncovering the water fed to power units, with all\npossible combinations of reservoirs and without\nthe construction of reservoirs. The purpose of\nwater balance is to demonstrate the requirement\nof specific combination of reservoirs constructed\nunder CDM project activity for the optimization\nof power output. This demonstration has to be\ncarried out in the specific scenario of water\navailability in different seasons to optimize the\nwater flow at the inlet of power units. Therefore\nthis water balance will take into account\nseasonal flows from river, tributaries (if any),\nand rainfall for minimum five years prior to\nimplementation of CDM project activity.', 'The proposed project activity involves\ninstallation of a solar power plant/unit.\nAs the criteria are related to hydro\npower project, therefore, the said criteria\nare not applicable.']]
JOINT PROJECT DESCRIPTION & MONITORING REPORT:VCS Version 3
v3.1 15

[['Applicability Criterion', 'Project Case'], ['The methodology is not applicable to:\n\uf0b7 Project activities that involve switching from\nfossil fuels to renewable energy sources at the\nsite of the project activity, since in this case\nthe baseline may be the continued use of\nfossil fuels at the site;\n\uf0b7 Biomass fired power plants/units.', 'The proposed project activity is the\ninstallation of solar power plant/unit.\nTherefore, the said criteria is not\napplicable.'], ['In the case of retrofits, rehabilitations, replacements,\nor capacity additions, this methodology is only\napplicable if the most plausible baseline scenario, as\na result of the identification of baseline scenario, is\n“the continuation of the current situation, that is to\nuse the power generation equipment that was\nalready in use prior to the implementation of the\nproject activity and undertaking business as usual\nmaintenance.', 'The proposed project activity is a\nGreenfield project, thus this criteria is\nnot applicable.'], ['In addition, the applicability conditions included in the\ntools referred to below apply.', 'Please refer tables below.']]
[['Applicability Criterion', 'Project Case'], ['This tool may be applied to estimate the OM, BM\nand/or CM when calculating baseline emissions for a\nproject activity that substitutes grid electricity that is\nwhere a project activity supplies electricity to a grid or\na project activity that results in savings of electricity\nthat would have been provided by the grid (e.g.\ndemand-side energy efficiency projects).', 'The project is a grid connected\nGreenfield solar power project and thus\nthe tool is applicable.']]
JOINT PROJECT DESCRIPTION & MONITORING REPORT:VCS Version 3
Tool to calculate the emission factor for an electricity system - Version 07.0 (EB 100, Annex 04)
v3.1 16","{'project_methodologies': ['ACM0002']}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","3","0","98","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
The project applies a CDM EB-approved methodology and related tools in their latest version. The CDM
program is a VCS approved program. The respective CDM sectoral scopes are scope 01 (Energy
industries) – and scope 04 (Manufacturing industries).
The project is not a grouped project.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","99","Completed"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'New Brunswick', 'project_country': 'Canada'}","1.12 Project Location
The Deeg project is a Grouped Project with a Project Area encompassing all of New
Brunswick, Canada1.
1 A relatively large Project Area has been selected in anticipation that Deeg may acquire
additional timberland in the future, and it is possible that acquisition opportunities of interest to
Deeg can only be found elsewhere across the province.
15

Project Description: VCS Version 4.2
Figure 1 - The Project Area is all of New Brunswick, outlined in green; with the current Deeg
project lands shown in yellow.
At Validation, the Deeg properties encompass 1,037 hectares of private forested land
parcels located to the southeast of Miramichi, New Brunswick, Canada, generally near
Miramichi, NB in Northumberland and Kent Counties.
The project is designated a Grouped Project in anticipation that Deeg may acquire (or sell)
new properties within the Project Area over time, which will be added (or removed) as new
Project Instances upon closing.
A KML file has been provided as part of project documentation at the time of validation.","{'project_state_province': 'NB', 'project_country': 'Canada'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","1","0.67","100","Completed"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Peru'}","1.9 Project Location
In general, the project is spread throughout the Andes from North to South. The projects activities
are located on the eastern slopes of and inter-Andean valleys of the Peruvian Andes. The project
which encompasses 12 department of Peru is limited in its altitudinal zone - with a minimum of 80
Meters Above Sea Level (masl) for the cocoa agroforestry systems to a maximum of 2 500 MASL
for forest plantation. However, approximately 90% of the project will be developed between 300
masl and 1 500 masl.
These regions between 300m et 1500masl are known as the most suitable coffee and cocoa
production zones in the country, due to their similar ecological conditions (temperature,
precipitation and soil). Land use patterns in the project areas can be considered as
homogeneous. It comprises areas that are managed by producers’ members, the Cooperatives
(see section 1.4) and some independent small-scale producers who are joining the cooperative.
The General map of the SHADE COFFEE AND CACAO REFORESTATION PROJECT (SCCR).
Note in green on this map, the zones where are the first group instances of the project.
v3.2 26

PROJECT DESCRIPTION : VCS Version 3
Figure 1: General map of The SCCR project
v3.2 27

[['12 country', '', '37 provinces'], ['', '', None], ['Lambayeque', '', 'Cañaris'], ['', '', None], ['', '', 'Uctubamba'], [None, '', 'Bagua'], ['Amazonas', None, None], ['', '', 'Rodríguez de'], [None, None, 'Mendoza'], ['Ayacucho', '', 'Huanta'], ['', 'San Ignacio', None], ['Cajamarca', None, None], [None, '', 'Jaen'], ['', None, None], ['', '', None], ['Cusco', '', 'La Convencion'], ['', '', None], ['', '', None], [None, '', 'Leoncio Prado'], [None, '', None], [None, '', 'Huanuco'], [None, '', 'Pachitea'], [None, '', 'Marañón'], [None, '', 'Jose Crespo y'], [None, None, 'Castillo'], [None, '', 'Rupa Rupa'], ['Huanuco', None, None], [None, '', 'Marino Damaso'], ['', None, None], [None, None, 'Veraun'], [None, '', 'Luyando'], [None, '', 'Daniel Alomia'], [None, None, 'Robles'], [None, '', 'Chinchao'], [None, '', 'Hermilio Valdizan'], [None, 'Monzón', None]]
PROJECT DESCRIPTION : VCS Version 3
The project is a grouped project. The partners of the project are located in 12 departments and 37
provinces of Peru, as shown in the following table:
Table 05. Geographic Location
The grouped project is made on a single geographic area for the inclusion of new instances as
defined by the VCS criteria. Indeed, the initial conditions that can influence the baseline scenario
and additionality (land use, socioeconomic conditions biophysical and ecological) are sufficiently
homogeneous throughout the scope of the project to justify this grouping. Small Peruvian
producers of coffee and cocoa, with whom we work, form a very homogeneous group with
respect to the management of their lands and plantations and their socioeconomic conditions.
Popular and current agricultural practices (such as ""slash and burn, Migratory agriculture, low
density and diversity in the use of shadow when used, etc.) are common to all. We use the same
unique geographic area for the non-permanence risk assessment.
v3.2 28

PROJECT DESCRIPTION : VCS Version 3
The geographic area within which new project activity instances may be developed is delimited by
the sphere of influence of the participating cooperatives:
Each cooperative has its producer members and performs these activities in a zone of influence.
Each of these geographic zones forms a unit for an implementing partner. In addition, producers
who are not related to a cooperative of the project but are located within the area of influence of a
cooperative may choose to become member and join the project. The following maps show areas
of cooperatives or central that are part of the SHADE COFFEE AND CACAO REFORESTATION
PROJECT. In some cases these territories may overlap. All these maps are stored in ArcGis, and
also joined in KML files, where each one is delimited by a geodetic polygons. Below are few
examples of maps of the territories covered by each cooperative. The complete list of these maps
is attached.
v3.2 29

PROJECT DESCRIPTION : VCS Version 3
Geographic area for the first group instances
Every instance has its polygon defined by a GPS during the initial visit. The geographic
coordinates of the boundaries of each one of the plots include a georeferencing procedure by
registering the UTM coordinates with horizontal projection WGS 1984 South. This information is
stored in our database (MINKA), processed in ArcGIS and identifies every instance of the project.
Also KML digital files referring to the cooperative size and location of the first group of instances
were prepared.
v3.2 30

[['Cooperative', 'Department', 'Province', 'District', 'Sector', 'Area (ha)', 'Total Area By\nCooperative (ha)'], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'LLAYLLA', 'CHALLHUAMAYO', '3.0293', '27.9563'], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'LLAYLLA', 'VISTA ALEGRE', '0.6799', None], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'RIO NEGRO', 'HUAHUARI BAJO', '4.7626', None], ['C AC SATIPO', 'JUNIN', 'SATIPO', 'RIO NEGRO', 'UNION PROGRESO', '0.6608', None], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'RIO TAMBO', 'VISTA ALEGRE', '0.8968', None], ['C AC SATIPO', 'JUNIN', 'SATIPO', 'SATIPO', 'CAPIRO BAJO', '1.7128', None], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'SATIPO', 'NUEVA ESPERANZA', '1.8801', None], ['C AC SATIPO', 'JUNIN', 'SATIPO', 'SATIPO', 'PARATUSHALI', '7.6429', None], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'SATIPO', 'SANTA CLARA', '3.1111', None], ['CAC SATIPO', 'JUNIN', 'SATIPO', 'SATIPO', 'PUEBLO LIBRE DE\nAZOPE', '3.58', None], ['JU MARP', 'AMAZONAS', 'UTCUBAMBA', 'YAMON', 'NUEVO AMAZONAS', '1.8139', '1.8139'], ['', '', '', '', '', '', '29.7702']]
PROJECT DESCRIPTION : VCS Version 3
The following table shows the participating cooperatives of the first instances group, with
departments, provinces, districts and the number of hectares. Implementation of the reforestation
activities with the first instances group will be carried out during the first year of the project, as
pilot test to collect lessons learned. Almost 30 hectares will be reforested in the departments of
Amazonas and Junin scattered in ""different producer areas"".
Table 06: Participating cooperatives, geographic reference and size of the first group of instances
First group instances: Partners and Locations
The following maps are example of the first instances.
v3.2 31

PROJECT DESCRIPTION : VCS Version 3","{'project_country': 'Peru'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","1","101","Completed"
"What is the methodology of this project?","No relevant information found in context","3.2 Applicability of Methodology
Applicability conditions of the methodology: AR-ACM0003: Afforestation and reforestation of
lands except wetlands (Version 2):
(a) The land subject to the project activity does not fall in wetland category
All wetlands are excluded from SCALA operations, including roads, plantation establishment
and harvesting. Should any water courses exist inside company managed areas, these would
fall under control of SCALA reserved from plantation production.
Figure 3-1: IPCC classification of soils
1. The outer boundary of the project area is plotted against the Harmonised World Soil Database
(see FAO/IIASA/ISRIC/ISSCAS/JRC, 2009) which summarizes the latest regional soil
information as compiled by various partners. (see figures below).
38

Project Description: VCS Version 4.1
Figure 3-2: Overview of soils across the outer and inner project boundary
(Highlighted is Kammouan Province)
39

Project Description: VCS Version 4.1
Figure 3-3: Soils of the first instance in plantations (to the right Xaybouathong, left
Boualapha)
2. According to this map the project is dominated by ACRISOOLS (ACf) and CAMBISOLS. The
Nakathing-Nongkapath PFA also has some small pockets of Leptosols and Luvisols.
40

Project Description: VCS Version 4.1
Table 3-1: Sample data of the Orthic Acrisol soil type
Parameter Value
Dominant soil group Orthic Acrisols
Topsoil texture Medium
Drainage class Imperfectly
Topsoil sand fraction (%) 49
Topsoil silt fraction (%) 27
Topsoil clay fraction (%) 24
USDA Texture classification Sandy clay loam
Reference Bulk density (kg/dm3) 1.4
Topsoil gravel content (%) 10
Topsoil organic carbon (% weight) 1
Topsoil pH 4.6
Topsoil CEC (cmol/kg) 16
3. By using the decision tree and the official translation of FAO soil classes to IPCC soil classes,
which is referenced by Batjes (2009)11, all Acrisols are classified as IPCC Low Activity Clay soils.
None of the project areas (inner boundary) belong to the category of wetlands (FAO soil type
Gleysol).
(b) Soil disturbance attributable to the project activity does not cover more than 10 per cent of
area in each of the following types of land, when these lands are included within the project
boundary:
(i) Land containing organic soils;
(ii) land which, in the baseline, is subjected to land-use and management practices and
receives inputs listed in appendices 1 and 2 to the methodology.
The project land does not contain organic soils as demonstrated above. The project land does
not receive any inputs according to appendices 1 and 2 of the AR methodology (CDM), but is
subject to shifting agriculture. Because of long periods of fallow vegetation however, it is not
considered to be specific subject to land use.
Applicability conditions of the tool: “Demonstrating appropriateness of allometric equations for
estimation of aboveground tree biomass in A/R CDM project activities” (Version 01.0.0)
This tool has no internal applicability conditions
Applicability conditions of the tool: “Calculation of the number of sample plots for
measurements within A/R CDM project activities” (Version 2.1.0)
11 https://edepot.wur.nl/51469
41

Project Description: VCS Version 4.1
This tool has no internal applicability conditions
Applicability conditions of the tool: “Tool for estimation of change in soil organic carbon stocks
Due to the implementation of A/R CDM project activities”, version 01.1.0
(a) The areas of land (i) do neither fall into the wetland category, nor (ii) contain organic soils as
defined in “Annex A: glossary” of the IPCC GPG LULUCF 2003, as shown above. In the baseline
scenario and the project activity, the areas of land does not experience crop- or grassland
management as shown in Table 1 and 2. Shifting cultivation in the area does not include high
inputs in the form of manure or fertilizer. Fallow vegetation is burned on site and the area is
cultivated with upland rice for mostly one to two years under presumably reduced tillage
management.
(b) The A/R CDM project activity meets the listed conditions. (i) Litter remains on site as there is no
incentive to remove litter from the plots. (ii) Also, soil disturbance associated with the A/R
activity only occurs for planting and is NOT repeated in less than 20 years.
Applicability conditions of the tool “Estimation of carbon stocks and change in carbon stocks in
dead wood and litter in A/R CDM project activities” (version 3.1)
This tool has no internal applicability conditions
Applicability conditions of the tool “Estimation of the increase in GHG emissions attributable to
displacement of pre-project agricultural activities in A/R CDM project activity” (version
02.0)
The tool is not applicable if the displacement of agricultural activities is expected to cause,
directly or indirectly, any drainage of wetlands of peat lands.
No drainage of wetlands or peat lands is expected (see section 1.3).
Demonstrate and justify how the project activity(s) meets each of the applicability conditions of
the methodology(s), and tools (where applicable) applied by the project. Address each
applicability condition separately.","{'project_methodologies': ['AR-ACM0003']}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","3","0","102","Completed"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","C.2.1.2. Length of the first crediting period:
7 years 0 months","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","103","Completed"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Jiangxi Green Energy Agricultural Development Co., Ltd', 'country': 'China'}]","1.5 Project Proponent
5

[['', 'Organization name', '', '', 'Jiangxi Green Energy Agricultural Development Co., Ltd', ''], ['', 'Contact person', '', '', 'Jiang Ning', ''], ['', 'Title', '', '', 'General Manager', ''], ['Address', 'Address', None, '', 'Xilu Village, Dinghu Town, Anyi County, Nanchang City, Jiangxi Province, the', ''], [None, None, None, None, ""People's Republic of China"", None], ['', 'Telephone', '', '', '(+86) 18970043030', ''], ['', 'Email', '', '', '461437329@qq.com', '']]
Project Description: VCS Version 4.1","[{'organization_name': 'Jiangxi Green Energy Agricultural Development Co., Ltd', 'state/city': 'Green', 'country': 'China'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.91","104","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Forestry and Land Use'}","2.1 Sectoral Scope and Project Type
The applicable VCS sectoral scope for the project is: 14 Agriculture, Forestry and Other Land Uses
(AFOLU), under the Reduced Emissions from Deforestation and Degradation (REDD) project category.
The project activities are designed to Avoid Unplanned Deforestation (AUD) occurring in a mosaic
pattern. The project fits this category and activity type due to the distribution of the agents and drivers of
deforestation identified in the baseline scenario detailed in section 4.5 below.","{'project_sector': 'Forestry and Land Use'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","105","Completed"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Egenda Ege Enerji Uretim A.S.', 'country': 'Turkey'}]","[['', 'Organization name', '', 'Egenda Ege Enerji Üretim A.Ş.'], ['', 'Contact person', '', 'Taylan Kabaş']]
1.3 Project Proponent
Egenda Ege Enerji Üretim A.Ş. is the developer and owner of the Project.
v3.2 4

[['', 'Title', '', 'WPP Projects Manager'], ['', 'Address', '', '1380 Sokak No:2/1 Alyans Apt. Alsancak İzmir Turkey'], ['', 'Telephone', '', '0090 232 463 98 11'], ['', 'Email', '', 'taylan.kabas@endaenerji.com.tr']]
PROJECT DESCRIPTION : VCS Version 3","[{'organization_name': 'Egenda Ege Enerji Uretim A.S', 'email': 'fatih.candir@endaenerji.com.tr', 'country': 'Turkey'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.89","106","Completed"
