id,filename,type,response
641,641_PROJ_DESC_641_27_AUG2013.pdf,crediting period,"{'crediting_period_start': '2011-03-31', 'crediting_period_end': '2035-03-30'}"
641,641_PROJ_DESC_641_27_AUG2013.pdf,sector,{'project_sector': 'Forestry and Land Use'}
641,641_PROJ_DESC_641_12MAY2011.pdf,project_proponents,"[{'organization_name': 'Connorville Estates Pty Ltd', 'telephone': '6397 8291', 'state/city': 'Cressy', 'country': 'Australia'}, {'organization_name': 'Redd Forests Pty Ltd', 'telephone': ' 421 670 567', 'state/city': 'Renfrew', 'country': 'Australia'}]"
641,641_PROJ_DESC_641_12MAY2011.pdf,ghg_emission_reductions,{'yearly_estimated_ghg_emission_reductions_or_removals': 26688}
641,641_PROJ_DESC_641_12MAY2011.pdf,methodology,{'project_methodologies': ['IFM']}
641,641_PROJ_DESC_641_12MAY2011.pdf,project_location,"{'project_state_province': 'Tasmania', 'project_country': 'Australia'}"
641,641_PROJ_DESC_641_12MAY2011.pdf,crediting period,"{'crediting_period_start': '2010-04-01', 'crediting_period_end': '2035-03-31'}"
641,641_PROJ_DESC_641_12MAY2011.pdf,sector,{'project_sector': 'Forestry and Land Use'}
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,project_proponents,"[{'organization_name': 'Danfeng County Construction Development Group Co., Ltd', 'telephone': '13991499380', 'email': 'danfenglyth@163.com', 'state/city': 'Danfeng', 'country': 'China'}, {'organization_name': 'Guangzhou Guotan Assets Management Co., Ltd', 'telephone': '22885839', 'email': 'guotanzichan@163.com', 'state/city': 'Guangzhou', 'country': 'China'}]"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,ghg_emission_reductions,"[{'year': 2021, 'estimated_reductions_or_removals': 52058}, {'year': 2022, 'estimated_reductions_or_removals': 55751}, {'year': 2023, 'estimated_reductions_or_removals': 59709}, {'year': 2024, 'estimated_reductions_or_removals': 52202}, {'year': 2025, 'estimated_reductions_or_removals': 55224}, {'year': 2026, 'estimated_reductions_or_removals': 58131}, {'year': 2027, 'estimated_reductions_or_removals': 61482}, {'year': 2028, 'estimated_reductions_or_removals': 65028}, {'year': 2029, 'estimated_reductions_or_removals': 57515}, {'year': 2030, 'estimated_reductions_or_removals': 60286}, {'year': 2031, 'estimated_reductions_or_removals': 62919}, {'year': 2032, 'estimated_reductions_or_removals': 65940}, {'year': 2033, 'estimated_reductions_or_removals': 69107}, {'year': 2034, 'estimated_reductions_or_removals': 61555}, {'year': 2035, 'estimated_reductions_or_removals': 64066}, {'year': 2036, 'estimated_reductions_or_removals': 66429}, {'year': 2037, 'estimated_reductions_or_removals': 69132}, {'year': 2038, 'estimated_reductions_or_removals': 71947}, {'year': 2039, 'estimated_reductions_or_removals': 64644}, {'year': 2040, 'estimated_reductions_or_removals': 66912}, {'year': 2041, 'estimated_reductions_or_removals': 69030}, {'year': 2042, 'estimated_reductions_or_removals': 71448}, {'year': 2043, 'estimated_reductions_or_removals': 73949}, {'year': 2044, 'estimated_reductions_or_removals': 67158}, {'year': 2045, 'estimated_reductions_or_removals': 33496}, {'year': 2046, 'estimated_reductions_or_removals': 69912}, {'year': 2047, 'estimated_reductions_or_removals': 71537}, {'year': 2048, 'estimated_reductions_or_removals': 73754}, {'year': 2049, 'estimated_reductions_or_removals': 67362}, {'year': 2050, 'estimated_reductions_or_removals': 69222}, {'year': 2051, 'estimated_reductions_or_removals': 71135}, {'year': 2052, 'estimated_reductions_or_removals': 73103}, {'year': 2053, 'estimated_reductions_or_removals': -1412207}, {'year': 2054, 'estimated_reductions_or_removals': 23523}, {'year': 2055, 'estimated_reductions_or_removals': 4089}, {'year': 2056, 'estimated_reductions_or_removals': 4823}, {'year': 2057, 'estimated_reductions_or_removals': 5682}, {'year': 2058, 'estimated_reductions_or_removals': 6686}, {'year': 2059, 'estimated_reductions_or_removals': 7857}, {'year': 2060, 'estimated_reductions_or_removals': 9232}, {'year': 2061, 'estimated_reductions_or_removals': 10836}, {'year': 2062, 'estimated_reductions_or_removals': 12394}, {'year': 2063, 'estimated_reductions_or_removals': 14496}, {'year': 2064, 'estimated_reductions_or_removals': 16946}, {'year': 2065, 'estimated_reductions_or_removals': 16946}, {'year': 2066, 'estimated_reductions_or_removals': 19811}, {'year': 2067, 'estimated_reductions_or_removals': 23152}, {'year': 2068, 'estimated_redu"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,methodology,{'project_methodologies': ['VM0003']}
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,project_location,"{'project_state_province': 'Shanxi Province', 'project_country': 'China'}"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,crediting period,"{'crediting_period_start': '2021-09-01', 'crediting_period_end': '2121-08-31'}"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,sector,{'project_sector': 'Forestry and Land Use'}
