id,type,value
83,project_proponents,"[{'organization_name': 'Cerâmica Guarai LTDA', 'telephone': '2736-4141', 'state/city': 'Itaboraí'}, {'organization_name': 'Cil Cerâmica Itabira LTDA', 'telephone': '2635-2669', 'state/city': 'Itabira'}, {'organization_name': 'Cerâmica Santa Izabel LTDA', 'telephone': '2635-7089', 'state/city': 'Santa Isabel'}, {'organization_name': 'Carbono Social Serviços Ambientais LTDA.', 'telephone': '5083 3252', 'email': 'joaopaulo@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
84,project_proponents,"[{'organization_name': 'Beijing Jingeng Energy Technology Investment Compa', 'state/city': 'Beijing'}]"
85,project_proponents,"[{'organization_name': 'Yanbian Heli Electric Power Co., Ltd.', 'state/city': 'Delhi', 'country': 'India'}]"
86,project_proponents,"[{'organization_name': 'Yanbian Heli Electric Power Co., Ltd.', 'state/city': 'Delhi', 'country': 'India'}]"
87,project_proponents,"[{'organization_name': 'Yanbian Heli Electric Power Co., Ltd.', 'state/city': 'Delhi', 'country': 'India'}]"
88,project_proponents,"[{'organization_name': 'Guizhou Anshun Sanchawan Hydropower Co., Ltd.', 'state/city': 'Anshun', 'country': 'Thailand'}]"
89,project_proponents,"[{'organization_name': 'Xinjiang Tianfeng Wind Power Co., Ltd.'}]"
90,project_proponents,"[{'organization_name': 'Essent Trading', 'email': 'melcopeland@re-consult.net', 'state/city': 'Ankara', 'country': 'Turkey'}]"
91,project_proponents,"[{'organization_name': 'Yichang Changfeng Hydropower Development Co., Ltd', 'telephone': '+86 717 5493333', 'email': '3401174841@qq.com', 'state/city': 'Yichang', 'country': 'United States'}]"
92,project_proponents,"[{'organization_name': 'Jaiprakash Hydro Power Limited', 'telephone': '+917259430430', 'email': 'akumalla.ra@poonawallafincorp.com', 'state/city': 'Inđija', 'country': 'India'}]"
93,project_proponents,[{'organization_name': 'Malana Power Company Limited'}]
95,project_proponents,"[{'organization_name': 'Heilongjiang Huafu Muling Wind Power Co. Ltd', 'state/city': 'Inđija', 'country': 'India'}]"
96,project_proponents,"[{'organization_name': 'Shandong Yuchen Xinyuan Heat & Power Co., Ltd.', 'telephone': '2340 2288', 'country': 'Chile'}]"
97,project_proponents,"[{'organization_name': 'Hunan Zhongda Shendu Hydropower Co., Ltd.', 'state/city': 'Montana', 'country': 'United States'}]"
98,project_proponents,"[{'organization_name': 'Pamir Energy Company', 'telephone': '93 5006942', 'email': 'lutfiya.aynalishoeva@pamirenergy.com'}]"
99,project_proponents,"[{'organization_name': 'Datang Chifeng Saihanba Wind Power Generation Co.,', 'telephone': '+905306614088', 'email': 'kemal.demirkol@gte.com.tr', 'state/city': 'Chifeng', 'country': 'Turkey'}]"
100,project_proponents,"[{'organization_name': 'JPMorgan Ventures Energy Corporation', 'telephone': '705-649-5751', 'email': 'info@algomahighlandsconservancy.org', 'country': 'Canada'}]"
101,project_proponents,"[{'organization_name': 'Triveni Engineering and Industries Limited (TEIL)', 'state/city': 'Aydın', 'country': 'Turkey'}]"
102,project_proponents,"[{'organization_name': 'Bhageshwari Paper Pvt Ltd', 'country': 'China'}]"
103,project_proponents,"[{'organization_name': 'RIMA Industrial S/A', 'country': 'China'}]"
104,project_proponents,"[{'organization_name': 'JSC Sawmill 25', 'country': 'China'}]"
105,project_proponents,"[{'organization_name': 'Yangbi Heihuijiang Electric Power Development Co.,', 'telephone': '63887060', 'email': '12098919@ceic.com', 'country': 'China'}]"
106,project_proponents,"[{'organization_name': 'Guizhou Qiannan Zhongshui Hydro Power Development', 'email': 'ashok.jain@bkt-tires.com', 'state/city': 'Inđija', 'country': 'India'}]"
107,project_proponents,"[{'organization_name': 'Ortitlan Limitada', 'email': 'sandip.saha@clpinida.in', 'state/city': 'Inđija', 'country': 'India'}]"
109,project_proponents,"[{'organization_name': 'M/s MITCON Consultancy Services Ltd.', 'country': 'China'}]"
110,project_proponents,"[{'organization_name': 'JPMorgan Ventures Energy Corporation', 'telephone': '705-649-5751', 'email': 'info@algomahighlandsconservancy.org', 'country': 'Canada'}]"
111,project_proponents,[{'organization_name': 'Tektuð Elektrik Üretim A.Þ.'}]
112,project_proponents,[{'organization_name': 'Siento Energy Investment'}]
114,project_proponents,"[{'organization_name': 'M/s Mysore Mercantile Co. Limited', 'state/city': 'Mysore', 'country': 'China'}]"
117,project_proponents,"[{'organization_name': 'Hindustan Zinc Limited', 'email': 'v.jayaraman@vedanta.co.in', 'state/city': 'Inđija', 'country': 'India'}]"
118,project_proponents,"[{'organization_name': 'Guizhou Tengyuan Electric Power Development Co. Lt', 'email': 'saverma@dmrc.org', 'state/city': 'Inđija', 'country': 'India'}]"
119,project_proponents,"[{'organization_name': 'Sinan Tengyuan Shuanghe Electric Power Co. Ltd.', 'telephone': '(888) 237-7732', 'email': 'accounting@carbonsolutionsgroup.com', 'state/city': 'Sinan', 'country': 'United States'}]"
120,project_proponents,"[{'organization_name': 'Menderes Geothermal Elektrik Uretim A.S', 'state/city': 'Menderes', 'country': 'Brazil'}]"
121,project_proponents,"[{'organization_name': 'JPMorgan Ventures Energy Corporation', 'telephone': '705-649-5751', 'email': 'info@algomahighlandsconservancy.org', 'country': 'Canada'}]"
122,project_proponents,"[{'organization_name': 'Vindhya Spinning Mills (P) Ltd', 'email': 'camel@md3.vsnl.net.in', 'state/city': 'Sivakasi', 'country': 'India'}, {'organization_name': 'Prima Papers & Engineering Pvt. Ltd', 'telephone': '24456296', 'email': 'Pearl-ip@eth.net', 'state/city': 'Pune', 'country': 'India'}, {'organization_name': 'Rathi Dye Chem (P) Ltd', 'telephone': '25672052', 'email': 'marketing@rathicolours.com', 'state/city': 'Pune', 'country': 'India'}, {'organization_name': 'Sarvana Spinning Mills Kumaragiri Textiles Limited', 'telephone': '25353514', 'state/city': 'Chennai', 'country': 'India'}, {'organization_name': 'Chhotabhai Jethabhai Patel & Co', 'telephone': '2562633', 'email': 'ceejaygroup@yahoo.co.in', 'state/city': 'Nadiād', 'country': 'India'}]"
123,project_proponents,"[{'organization_name': 'Longyuan Hydro Power Development in Congiang Count', 'country': 'Turkey'}]"
124,project_proponents,"[{'organization_name': 'Gansu Jieyuan Wind Power Co., Ltd.'}]"
129,project_proponents,[{'organization_name': 'Ind Power Limited'}]
130,project_proponents,"[{'organization_name': 'Cerâmica Arrozal LTDA', 'telephone': '3333-1108', 'state/city': 'Pinheiral'}, {'organization_name': 'Indústria José Vicente Sesto LTDA', 'telephone': '2263-1267', 'state/city': 'Jos'}, {'organization_name': 'Cerâmica RJ Nunes LTDA', 'telephone': '2635-1531', 'state/city': 'Itaboraí'}, {'organization_name': 'Carbono Social Serviços Ambientais LTDA.:', 'telephone': '2649 0036', 'email': 'marcelo@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
131,project_proponents,"[{'organization_name': 'Milton A. Salzedas Panorama - ""ME”', 'state/city': 'Milton', 'country': 'Brazil'}]"
132,project_proponents,"[{'organization_name': 'Bhoruka Power Corporation Limited', 'state/city': 'İstanbul', 'country': 'Turkey'}]"
133,project_proponents,"[{'organization_name': 'MMTC Limited', 'telephone': '24362159', 'email': 'sudhirkapur@mmtclimited.com', 'state/city': 'Delhi', 'country': 'India'}]"
134,project_proponents,"[{'organization_name': 'CRP India Private Ltd', 'state/city': 'Inđija', 'country': 'India'}]"
135,project_proponents,"[{'organization_name': 'Guohua (Hebei) Renewable Energy Co Ltd.', 'state/city': 'Ankara', 'country': 'Turkey'}]"
136,project_proponents,"[{'organization_name': 'Enercon (India) Limited', 'state/city': 'Inđija', 'country': 'India'}]"
137,project_proponents,"[{'organization_name': 'Carbon Resource Management Ltd', 'country': 'China'}]"
138,project_proponents,"[{'organization_name': 'Commonwealth New Bedford Energy LLC', 'telephone': '(617) 327-8146', 'email': 'afinelli@crmcx.com', 'state/city': 'New Bedford', 'country': 'United States'}]"
139,project_proponents,"[{'organization_name': 'Rithwik Power Projects Limited', 'email': 'Michael@animalia.com.cy', 'state/city': 'Nicosia'}]"
140,project_proponents,"[{'organization_name': 'MGM Worldwide LLC', 'telephone': '(786) 425-9251', 'email': 'wperlik@mgminter.com', 'state/city': 'Florida', 'country': 'United States'}]"
141,project_proponents,"[{'organization_name': 'ENERGISA S.A.', 'state/city': 'Labuan', 'country': 'Malaysia'}]"
142,project_proponents,"[{'organization_name': 'Green Resources Tanzania Ltd (GRL)', 'email': 'Hampus.Hamilton@greenresources.no', 'state/city': 'Green', 'country': 'Tanzania'}]"
143,project_proponents,"[{'organization_name': 'Cerâmica Bandeira Ltda', 'telephone': '3287-1188', 'email': 'ceramicabandeira@uol.com.br', 'state/city': 'Capela'}, {'organization_name': 'Sustainable Carbon - Projetos Ambientais Ltda', 'telephone': '2649 0036', 'email': 'tecnica@sustainablecarbon.com', 'state/city': 'São Paulo', 'country': 'Brazil'}]"
144,project_proponents,"[{'organization_name': 'PT Indonesia Power', 'email': 'infonagindas@cmahendra.com', 'state/city': 'Inđija', 'country': 'Indonesia'}]"
145,project_proponents,"[{'organization_name': 'Enercon (India) Limited', 'state/city': 'Inđija', 'country': 'India'}]"
147,project_proponents,"[{'organization_name': 'ESWARI KNITTING WORKS'}, {'organization_name': 'ESWARI TEXTILE'}, {'organization_name': 'VICTUS ASSOCIAT'}, {'organization_name': 'ESWARI GARMENTS'}, {'organization_name': 'SHANMUGA COMPACTS'}]"
148,project_proponents,"[{'organization_name': 'Hebei Construction Investment Zhangjiakou Wind Energy Co, Ltd.', 'email': 'Huang98101@163.com', 'state/city': 'Zhangjiakou', 'country': 'China'}]"
149,project_proponents,"[{'organization_name': 'Shandong Luneng Development Group Co., Ltd.', 'state/city': 'Colombia', 'country': 'Colombia'}]"
150,project_proponents,"[{'organization_name': 'Chifeng Xinsheng Wind Power Co., Ltd.', 'state/city': 'Chifeng', 'country': 'Canada'}]"
151,project_proponents,"[{'organization_name': 'Zhejiang Guohua Yuyao Fuel Gas Power Generation Co', 'state/city': 'Yuyao', 'country': 'China'}]"
152,project_proponents,"[{'organization_name': 'Ningxia Tianjing Wind Power Generation Electricity', 'email': 'melcopeland@re-consult.net', 'state/city': 'Tianjin', 'country': 'Turkey'}]"
153,project_proponents,"[{'organization_name': 'Nahar Industrial Enterprises Limited', 'telephone': '+91 9872910548', 'email': 'HNSINGHAL@owmnahargroup.com', 'state/city': 'Inđija', 'country': 'India'}]"
154,project_proponents,"[{'organization_name': 'Xiamen HSE Environmental Engineering Consulting', 'email': 'yuxing_huang@hse-china.com', 'state/city': 'Xiamen', 'country': 'China'}]"
156,project_proponents,"[{'organization_name': 'Cixi Yangtze River Wind Power Co., Ltd.', 'email': 'info@dodhiagroup.com', 'state/city': 'Inđija', 'country': 'India'}]"
157,project_proponents,"[{'organization_name': 'Zhejiang Meida Electric Power Development Co., Ltd'}]"
158,project_proponents,"[{'organization_name': 'Cerâmica Menegalli Ltda', 'telephone': '3446 1421', 'state/city': 'Barbosa'}, {'organization_name': 'Carbono Social Serviços Ambientais Ltda', 'email': 'thales@socialcarbon.com', 'state/city': 'Bourges'}]"
164,project_proponents,"[{'organization_name': 'EcoSecurities International Limited', 'telephone': '+31 203011463', 'email': 'info@33assetmngt.com', 'country': 'Netherlands'}]"
166,project_proponents,"[{'organization_name': 'Yunnan New View Power Co.,Ltd.', 'state/city': 'Limassol'}]"
168,project_proponents,"[{'organization_name': 'Bhagyanagar India Limited & Surana Telecom and Power Limited', 'state/city': 'Inđija', 'country': 'India'}]"
169,project_proponents,"[{'organization_name': 'Pailou Hydropower of Zhongfang County Co., Ltd.'}]"
170,project_proponents,"[{'organization_name': 'Rajasthan State Mines & Minerals Ltd', 'telephone': '+912942428738', 'email': 'ashimajain.rsmml@rajasthan.gov.in', 'state/city': 'Inđija', 'country': 'India'}]"
171,project_proponents,"[{'organization_name': 'Pingwu Chuanjiang Hydropower Development Co., Ltd', 'country': 'United Kingdom'}]"
172,project_proponents,"[{'organization_name': 'Fugong Hongda Hydropower Development Co. Ltd', 'email': 'sandip.saha@clpinida.in', 'state/city': 'Inđija', 'country': 'India'}]"
173,project_proponents,[{'organization_name': 'Jaiprakash Power Ventures Limited'}]
174,project_proponents,"[{'organization_name': 'GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD', 'telephone': '18608075440', 'email': '12028906@chnenergy.com.cn', 'state/city': 'Colorado', 'country': 'China'}]"
175,project_proponents,"[{'organization_name': 'GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD', 'telephone': '18608075440', 'email': '12028906@chnenergy.com.cn', 'state/city': 'Colorado', 'country': 'China'}]"
176,project_proponents,"[{'organization_name': 'Carbon-TF B.V.', 'state/city': 'Córdoba', 'country': 'Argentina'}]"
180,project_proponents,"[{'organization_name': 'Rialma Companhia Energética I S.A.', 'state/city': 'São Paulo', 'country': 'Brazil'}]"
185,project_proponents,[{'organization_name': 'Arcor Group'}]
186,project_proponents,"[{'organization_name': 'Shaanxi Lan River Hydropower Development Co.,Ltd', 'state/city': 'Laon', 'country': 'China'}]"
187,project_proponents,"[{'organization_name': 'Shaanxi Hanjiang Hydropower Development Co., Ltd', 'telephone': '23465100', 'state/city': 'Delhi', 'country': 'India'}]"
191,project_proponents,"[{'organization_name': 'Dehong Kairui Dayingjiang Hydropower Dev. Co. Ltd.', 'telephone': '474467457', 'email': '474467457@qq.com', 'country': 'China'}]"
192,project_proponents,"[{'organization_name': 'Yunnan Baoshan Binglang River Hydropower Development Co., Ltd.', 'email': 'Hampus.Hamilton@greenresources.no', 'state/city': 'Baoshan', 'country': 'Tanzania'}]"
193,project_proponents,"[{'organization_name': 'Yunnan Baoshan Supahe Hydropower Development Co.,', 'state/city': 'Baoshan', 'country': 'China'}]"
194,project_proponents,"[{'organization_name': 'Yunnan Baoshan Supahe Hydropower Development Co.,', 'state/city': 'Baoshan', 'country': 'China'}]"
195,project_proponents,[{'organization_name': 'Parakh Agro Industries Ltd.'}]
197,project_proponents,"[{'organization_name': 'Cerâmica Kamiranga Indústria e Comércio LTDA.', 'telephone': '9112-8094', 'email': 'kamiranga@bol.com.br', 'state/city': 'Como', 'country': 'Brazil'}, {'organization_name': 'Sustainable Carbon - Projetos Ambientais Ltda', 'telephone': '2649 0036', 'email': 'tecnica@sustainablecarbon.com', 'state/city': 'São Paulo', 'country': 'Brazil'}]"
198,project_proponents,"[{'organization_name': 'JL Silva Cerâmica ME.', 'state/city': 'Prata'}, {'organization_name': 'Carbono Social Serviços Ambientais LTDA.', 'telephone': '2649-0036', 'email': 'gabriel@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
201,project_proponents,"[{'organization_name': 'R. Gonçalves Barbosa PP', 'telephone': '3446 1338', 'state/city': 'Barbosa'}, {'organization_name': 'Carbono Social Serviços Ambientais Ltda', 'email': 'thales@socialcarbon.com', 'state/city': 'Bourges'}]"
202,project_proponents,"[{'organization_name': 'Bom Jesus Ceramic', 'telephone': '3636-1200', 'state/city': 'Belém'}, {'organization_name': 'Carbono Social Serviços Ambientais LTDA.', 'telephone': '2649-0036', 'email': 'gabriel@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
224,project_proponents,[{'organization_name': 'M/s Nagreeka Foils Limited'}]
225,project_proponents,"[{'organization_name': 'C. Mahendra Exports Limited', 'email': 'infonagindas@cmahendra.com', 'state/city': 'Mumbai', 'country': 'India'}]"
234,project_proponents,"[{'organization_name': 'Shah Promoters and Developers', 'state/city': 'Trabzon', 'country': 'Turkey'}]"
235,project_proponents,"[{'organization_name': 'Korea Energy Management Corporation', 'country': 'South Korea'}]"
236,project_proponents,[{'organization_name': 'M/s. Rajmal Lakhichand'}]
237,project_proponents,[{'organization_name': 'M/s. NITCO Limited'}]
238,project_proponents,"[{'organization_name': 'PT. Cipta Daya Nusantara', 'state/city': 'Colombia', 'country': 'Indonesia'}]"
239,project_proponents,"[{'organization_name': 'Carbon Resource Management Ltd', 'country': 'China'}]"
240,project_proponents,"[{'organization_name': 'M/s. Sri Kumarswamy Mineral Exports', 'telephone': '+91 124 4716601', 'email': 'mahesh.babu@ilfsecosmart.com', 'state/city': 'Delhi', 'country': 'India'}]"
241,project_proponents,"[{'organization_name': 'Yanbian Heli Electric Power Co., Ltd.', 'state/city': 'Delhi', 'country': 'India'}]"
242,project_proponents,"[{'organization_name': 'Miyi Deshi Xinxin Hydroelectricity Co., Ltd.', 'state/city': 'İstanbul', 'country': 'Turkey'}]"
243,project_proponents,"[{'organization_name': 'PT Dalle Energy Batam', 'country': 'Malawi'}]"
244,project_proponents,"[{'organization_name': 'Kashyap J. Majethia', 'telephone': '+91-836-2244921', 'email': 'kashyapmajethia@gmail.com', 'state/city': 'Inđija', 'country': 'India'}]"
245,project_proponents,"[{'organization_name': 'KAMAL ENGINEERING CORPORATION[UNIT OF KEC INDUSTRI', 'email': 'chrisc@biogas.co.uk', 'country': 'United Kingdom'}]"
246,project_proponents,"[{'organization_name': 'Fujian Jinhu Power Co., Ltd.', 'telephone': '202-349-2881', 'email': 'carrie.sisto@argusmediagroup.com', 'country': 'United States'}]"
247,project_proponents,"[{'organization_name': 'Companhia de Fiação e Tecidos Santo Antonio', 'email': 'ptherade@dlz.com', 'state/city': 'Mumbai', 'country': 'India'}]"
248,project_proponents,[{'organization_name': 'M/s. Garden Court Distilleries Pvt. Ltd.'}]
249,project_proponents,"[{'organization_name': 'TAMILNADU SPINNING MILLS ASSOCIATION (TASMA)', 'email': 'directorprojects@tasma.in', 'state/city': 'Inđija', 'country': 'India'}]"
250,project_proponents,"[{'organization_name': 'TAMILNADU SPINNING MILLS ASSOCIATION (TASMA)', 'email': 'directorprojects@tasma.in', 'state/city': 'Inđija', 'country': 'India'}]"
251,project_proponents,"[{'organization_name': 'Nectar Lifesciences Ltd', 'telephone': '40001600', 'email': 'kudu@blacoke.in', 'state/city': 'Inđija', 'country': 'India'}]"
252,project_proponents,"[{'organization_name': 'Tamilnadu Petroproducts Limited', 'telephone': '801.322.4750', 'email': 'info@bluesource.com', 'country': 'United States'}]"
253,project_proponents,"[{'organization_name': 'Fujian Tianyi Renewable Energy Technology & Utiliz', 'telephone': '3324 1255', 'email': 'apedrotti@coprel.com.br', 'state/city': 'Rio Grande', 'country': 'Brazil'}]"
254,project_proponents,"[{'organization_name': 'China Resources Wind Power(Shantou) Co.Ltd', 'state/city': 'Shantou', 'country': 'China'}]"
255,project_proponents,"[{'organization_name': 'Bhoruka Power Corporation Limited', 'state/city': 'İstanbul', 'country': 'Turkey'}]"
256,project_proponents,"[{'organization_name': 'Mungcharoen Green Power Co., Ltd. (MGP)', 'state/city': 'Green', 'country': 'Belize'}]"
257,project_proponents,[{'organization_name': 'M/s. VRL Logistics Limited'}]
258,project_proponents,"[{'organization_name': 'China Resources Wind Power (Yantai) Co. Ltd', 'state/city': 'Yantai', 'country': 'China'}]"
259,project_proponents,"[{'organization_name': 'R.S.J.Ozone Private Limited', 'state/city': 'Delhi', 'country': 'India'}]"
260,project_proponents,"[{'organization_name': 'JINDAL ALUMINIUM LIMITED', 'telephone': '559-686-2036', 'email': 'jhoule@usfarmsystems.com', 'country': 'United States'}]"
261,project_proponents,[{'organization_name': 'Sukhbir Agro Energy Limited'}]
262,project_proponents,"[{'organization_name': 'Huasheng Tianya Cement Co., Ltd.', 'telephone': '0033961599775', 'email': 'peter@gteglobal.org', 'country': 'United States'}]"
263,project_proponents,"[{'organization_name': 'COROMANDEL ELECTRIC CO LTD', 'email': 'sudarsanam@indiacements.co.in', 'state/city': 'Inđija', 'country': 'India'}]"
264,project_proponents,[{'organization_name': 'Tektuð Elektrik Üretim A.Þ.'}]
265,project_proponents,"[{'organization_name': 'Bhoruka Power Corporation Limited', 'state/city': 'İstanbul', 'country': 'Turkey'}]"
