prompt,true_answer,model_answer
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What stadium did Super Bowl 50 take place in?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Levi""s Stadium""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California."
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What year was Super Bowl 50?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""2015"",""2016""]","Super Bowl 50 was played on February 7, 2016."
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What team was the AFC champion?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Denver Broncos""]",The AFC champion for Super Bowl 50 was the Denver Broncos.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who won Super Bowl 50?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Denver Broncos""]",The Denver Broncos won Super Bowl 50 by defeating the Carolina Panthers with a score of 24-10.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Super Bowl 50 determined the NFL champion for what season?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""the 2015 season"",""2015""]",Super Bowl 50 determined the NFL champion for the 2015 season.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What year was the Carolina Panthers franchise founded?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""1995""]",The Carolina Panthers franchise was founded in 1995.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: How many teams have been in the Super Bowl eight times?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""four""]","Four teams have been in the Super Bowl eight times. These teams are the New England Patriots, Dallas Cowboys, Pittsburgh Steelers, and the Denver Broncos."
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""15\u20131""]",The win/loss ratio for the Carolina Panthers in the 2015 regular season was 15-1.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: What were the win/loss game stats for the Denver Bronco's regular season in 2015?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.""}]","[""12\u20134""]",The Denver Broncos had a 12-4 record in the regular season of 2015.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: How many teams have played in the Super Bowl eight times?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""four"",""4""]","Four teams have played in the Super Bowl eight times. These teams are the New England Patriots, Dallas Cowboys, Pittsburgh Steelers, and the Denver Broncos."
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who was the Most Valuable Player for the 2015 NFL season?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""Cam Newton""]",Cam Newton was named the NFL Most Valuable Player (MVP) for the 2015 NFL season.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who was the 2015 NFL MVP?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""Cam Newton""]",Cam Newton was named the NFL Most Valuable Player (MVP) in 2015.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who did the Panthers beat to become the NFC champs?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""Arizona Cardinals"",""the Arizona Cardinals""]",The Panthers beat the Arizona Cardinals to become the NFC champs.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What year did the Carolina Panthers form?\n\nContext: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.'}]","[""1995."",""1995""]",The Carolina Panthers were founded in 1995.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: Who was the Super Bowl 50 MVP?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""Miller"",""Von Miller""]",Von Miller was named the Super Bowl 50 MVP.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: Who was limited by Denver's defense?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""Newton was limited by Denver""s defense"",""Newton""]",Cam Newton was limited by Denver's defense.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: Who won the Super Bowl MVP?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""Miller"",""The Broncos"",""Von Miller""]",Von Miller won the Super Bowl MVP.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: How many fumbles did Von Miller force?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""two""]",Von Miller forced two fumbles in Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: What was the number of solo tackles that Von Miller had in Super Bowl 50?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""5"",""five""]",Answer: Von Miller had five solo tackles in Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: How many times was Cam Newton sacked in Super Bowl 50?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""seven""]",Cam Newton was sacked seven times in Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: How many times did the Denver defense force Newton into turnovers?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""three""]",The Denver defense forced Newton into three turnovers during Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: Who was the Most Valuable Player of Super Bowl 50?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""Von Miller""]",Von Miller was named the Most Valuable Player (MVP) of Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: How many times did the Broncos cause turnovers in the game?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""three""]",The Broncos caused three turnovers in the game.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': ""Question: What Denver player caused two fumbles for the Panthers?\n\nContext: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.""}]","[""Von Miller""]",Denver linebacker Von Miller caused two fumbles for the Panthers during Super Bowl 50.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Which group headlined the Super Bowl 50 halftime show?\n\nContext: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.'}]","[""Coldplay""]",Coldplay headlined the Super Bowl 50 halftime show.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Which performers joined the headliner during the Super Bowl 50 halftime show?\n\nContext: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.'}]","[""Beyonc\u00e9 and Bruno Mars""]",Beyoncé and Bruno Mars joined the headliner Coldplay during the Super Bowl 50 halftime show.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who was the broadcaster for Super Bowl 50 in the United States?\n\nContext: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.'}]","[""CBS""]",The broadcaster for Super Bowl 50 in the United States was CBS.
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What was the average cost of a 30-second commercial?\n\nContext: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.'}]","[""$5 million""]",The average cost of a 30-second commercial during Super Bowl 50 was $5 million.
